id,title,authors,year,venue,doi
SP18,JSpIRIT: a flexible tool for the analysis of code smells,"S. Vidal, H. Vazquez, J. A. Diaz-Pace, C. Marcos, A. Garcia and W. Oizumi",2015,"34th International Conference of the Chilean Computer Science Society (SCCC), pp. 1–6",
SP19,"Minimizing Refactoring Effort through Prioritization of Classes based on Historical, Architectural and Code Smell Information",A. Choudhary and P. Singh,2016,QuASoQ/TDA@APSEC,
SP20,Pragmatic Approach for Managing Technical Debt in Legacy Software Project,"R.K. Gupta, P. Manikreddy, S. Naik, and K. Arya",2016,"9th India Software Engineering Conference (ISEC ’16), pp. 170–176",
SP21,Technical debt prioritization using predictive analytics,Z. Codabux and B. J. Williams,2016,"38th International Conference on Software Engineering Companion (ICSE ’16), pp. 704–706",
SP22,Technical Debt Management with Genetic Algorithms,S. H. Vathsavayi and K. Systä,2016,"42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA), Limassol, pp. 50–53",
SP23,A Heuristic for Estimating the Impact of Lingering Defects: Can Debt Analogy Be Used as a Metric?,"S. Akbarinasaji, A. Bener and A. Neal",2017,"8th Workshop on Emerging Trends in Software Metrics (WETSoM), pp. 36–42",
SP24,A Strategy Based on Multiple Decision Criteria to Support Technical Debt Management,"L. Ferrera Ribeiro, N. S. R. Alves, M. G. d. M. Neto and R. O. Spínola",2017,"43rd Euromicro Conference on Software Engineering and Advanced Applications (SEAA), pp. 334–341",
SP25,An empirical assessment of technical debt practices in industry,"Z. Codabux, B. Williams, G. Bradshaw and M. Cantor",2017,Journal of Software: Evolution and Process. Vol. 29,
SP26,Assessing code smell interest probability: a case study,"S. Charalampidou, A. Ampatzoglou, A. Chatzigeorgiou, and P. Avgeriou",2017,"XP2017 Scientific Workshops (XP ’17), Article 5, 8 pages",
SP27,Impact of Architectural Technical Debt on Daily Software Development Work — A Survey of Software Practitioners,"T. Besker, A. Martini and J. Bosch",2017,"43rd Euromicro Conference on Software Engineering and Advanced Applications (SEAA), pp. 278–287",
SP28,Investigating the Identification of Technical Debt Through Code Comment Analysis,"M. Farias, J. Amâncio Santos, M. Kalinowski, M. Mendonça and R. Spínola",2017,Lecture Notes in Business Information Processing. pp. 284–309,
SP29,Lessons Learned from the ProDebt Research Project on Planning Technical Debt Strategically,"M. Ciolkowsk, L. Guzmán, A. Trendowicz and F. Salfner",2017,International Conference on Product-Focused Software Process Improvement. pp. 523–534,
SP30,Looking for Peace of Mind? Manage Your (Technical) Debt: An Exploratory Field Study,"H. Ghanbari, T. Besker, A. Martini and J. Bosch",2017,"International Symposium on Empirical Software Engineering and Measurement (ESEM), pp. 384–393",
SP31,Revealing Social Debt with the CAFFEA Framework: An Antidote to Architectural Debt,A. Martini and J. Bosch,2017,"International Conference on Software Architecture Workshops (ICSAW),pp. 179–181",
SP32,Technical debt interest assessment: from issues to project,"A. Martini, S. Vajda, J. Vasa, A. Jones, M. Abdelrazek, J. Grundy and J. Bosch",2017,XP2017 Scientific Workshops.pp. 1–6,
SP33,The magnificent seven: towards a systematic estimation of technical debt interest,A. Martini and J. Bosch,2017,"IXP2017 Scientific Workshops (XP ’17), Article 7, 5 pages",
SP34,The Pricey Bill of Technical Debt: When and by Whom will it be Paid?,"T. Besker, A. Martini and J. Bosch",2017,"International Conference on Software Maintenance and Evolution (ICSME), pp. 13–23",
SP35,A semi-automated framework for the identification and estimation of Architectural Technical Debt,"A. Martini, E. Sikander, and N. Madlani",2018,"Information and Software Technology, Vol. 93, C, pp. 264–279",
SP36,Early evaluation of technical debt impact on maintainability,"J. M. Conejero, R. Rodríguez-Echeverría, J. Hernández, P. J. Clemente, C. Ortiz-Caraballo, E. Jurado, F. Sánchez-Figueroa",2018,"Journal of Systems and Software. Vol. 142, pp. 92–114",
SP37,Technical Debt tracking: Current state of practice: A survey and multiple case study in 15 large organizations,"A. Martini, T. Besker, J. Bosch",2018,"Science of Computer Programming. Vol. 163, pp. 42–61",
SP38,Identifying and Prioritizing Architectural Debt Through Architectural Smells: A Case Study in a Large Software Company,"A. Martini, F. Arcelli Fontana, A. Biaggi, R. Roveda",2018,"12th European Conference on Software Architecture (ECSA), pp. 24–28",
SP39,Prioritize technical debt in large-scale systems using codescene,A. Tornhill,2018,"International Conference on Technical Debt (TechDebt ’18), pp. 59–60",
SP40,Prioritizing technical debt in database normalization using portfolio theory and data quality metrics,M. Albarak and R. Bahsoon,2018,"International Conference on TechnicalDebt (TechDebt ’18), pp. 31–40",
SP41,Towards a Technical Debt Management Framework based on Cost-Benefit Analysis,H.M. Firdaus and H. Lichter,2015,ICSEA 2015,
SP42,Design debt prioritization: a design best practice-based approach,"R. Plösch, J. Bräuer, M. Saft, and C. Körner",2018,"International Conference on Technical Debt (TechDebt ’18), pp. 95–104",
SP43,"Rebouças de Almeida, U",R,2018,"Kulesza, C. Treude, D. Cavalcanti Feitosa and A. Higino Guedes Lima. Aligning Technical Debt Prioritization with Business Objectives: AMultiple-Case Study. International Conference on Software Maintenance and Evolution (ICSME 2018), pp. 655–664",
SP44,Technical Debt Prioritization: A Search-Based Approach,R. Alfayez and B. Boehm,2019,"19th International Conference on Software Quality, Reliability and Security (QRS), pp. 434–445",
