slr_id,slr_title,slr_year,slr_venue,slr_type,n_refs,eligible_top_n,hits,misses,coverage_pct
ss:5c1fc36810af573bb166635a79f9fa4125de65a6,Towards a Theory on Architecting for Continuous Deployment,2021,arXiv.org,slr,55,25,0,25,0.0
doi:10.3390/systems14050591,An AI-Enhanced Technical Debt Management Framework for Aerospace and Defense Systems Engineering: Framework Design and Illustrative Application,2026,Systems,slr,34,50,3,47,6.0
doi:10.23919/cisti52073.2021.9476368,Agile Development Practices Applied to Software Startups : A Systematic Mapping Review,2021,Iberian Conference on Information Systems and Technologies,sms,5,25,0,25,0.0
doi:10.1145/3675393,"A Systematic Mapping Study Exploring Quantification Approaches to Code, Design, and Architecture Technical Debt",2024,ACM Transactions on Software Engineering and Methodology,sms,6,49,0,49,0.0
doi:10.1145/3701625.3701669,Technical Debt Management in Agile Software Development: A Systematic Mapping Study,2024,Brazilian Symposium on Software Quality,sms,20,49,3,46,6.12
doi:10.1145/3613372.3613399,Architectural Technical Debt - A Systematic Mapping Study,2023,Brazilian Symposium on Software Engineering,sms,10,44,0,44,0.0
doi:10.48550/arxiv.2303.06535,Quantifying Technical Debt: A Systematic Mapping Study and a Conceptual Model,2023,arXiv.org,sms,66,44,5,39,11.36
doi:10.5220/0010459100880098,Technical Debt Tools: A Systematic Mapping Study,2021,International Conference on Enterprise Information Systems,sms,27,25,7,18,28.0
doi:10.37190/e-inf200102,Technical Debt Aware Estimations in Software Engineering: A Systematic Mapping Study,2020,e-Informatica Software Engineering Journal,sms,82,24,8,16,33.33
doi:10.1016/j.jss.2014.12.027,A systematic mapping study on technical debt and its management,2015,Journal of Systems and Software,sms,33,16,3,13,18.75
doi:10.1016/j.infsof.2015.10.008,Identification and management of technical debt: A systematic mapping study,2016,Information and Software Technology,sms,20,19,2,17,10.53
doi:10.1145/3524843.3528097,Comprehending the Use of Intelligent Techniques to Support Technical Debt Management,2022,2022 IEEE/ACM International Conference on Technical Debt (TechDebt),slr,11,25,0,25,0.0
doi:10.1016/j.infsof.2023.107375,Technical Debt Management Automation: State of the Art and Future Perspectives,2023,Information and Software Technology,slr,46,44,2,42,4.55
doi:10.1007/978-3-031-08965-7_14,Exploring Technical Debt Tools: A Systematic Mapping Study,2021,International Conference on Enterprise Information Systems,sms,32,25,8,17,32.0
doi:10.5753/ise.2022.227051,Shedding Light on How Intelligent Techniques can Support Technical Debt Management and Influence Software Quality Attributes,2022,International Symposium on Information Science and Engineering,slr,26,25,3,22,12.0
doi:10.1109/seaa56994.2022.00050,"Quantifying TD Interest: Are we Getting Closer, or Not Even That?",2022,EUROMICRO Conference on Software Engineering and Advanced Applications,slr,10,25,0,25,0.0
