paper_key,title,year,venue,doi,paperId,classification_type,refs_cache_filename,manual_refs_status,notes
doi:10.1145/3524843.3528092,An Architecture Smell Knowledge Base for Managing Architecture Technical Debt,2022,2022 IEEE/ACM International Conference on Technical Debt (TechDebt),10.1145/3524843.3528092,540e1a609fd7e88790d7ea2669a63fa28cf3beb3,slr,doi_10.1145_3524843.3528092.json,crossref_ok,10 refs from Crossref
doi:10.1145/3524843.3528097,Comprehending the Use of Intelligent Techniques to Support Technical Debt Management,2022,2022 IEEE/ACM International Conference on Technical Debt (TechDebt),10.1145/3524843.3528097,3a0ebddcc6c482f3d934e403f44b7a5b52155214,slr,doi_10.1145_3524843.3528097.json,crossref_ok,11 refs from Crossref
doi:10.1145/3592813.3592925,Identifying and Measuring Technical Debt in Software Requirements: a supporting guide,2023,Brazilian Symposium on Information Systems,10.1145/3592813.3592925,61bd5f8fa7ddd1f6a8fd6636587764e007e230b4,slr,doi_10.1145_3592813.3592925.json,crossref_ok,20 refs from Crossref
doi:10.1145/3613372.3613399,Architectural Technical Debt - A Systematic Mapping Study,2023,Brazilian Symposium on Software Engineering,10.1145/3613372.3613399,11ce6d6f7b7229200896021d805555c19faff220,sms,doi_10.1145_3613372.3613399.json,crossref_ok,10 refs from Crossref
doi:10.1145/3629479.3629513,Variability Debt: A Multi-method Study,2023,Brazilian Symposium on Software Quality,10.1145/3629479.3629513,12df071cc49c74e0be88004df23e3f3df26dbe1d,slr,doi_10.1145_3629479.3629513.json,crossref_ok,13 refs from Crossref
doi:10.1145/3675393,"A Systematic Mapping Study Exploring Quantification Approaches to Code, Design, and Architecture Technical Debt",2024,ACM Transactions on Software Engineering and Methodology,10.1145/3675393,5f641d304cbab41110a94e218d43824ce3195fde,sms,doi_10.1145_3675393.json,crossref_ok,6 refs from Crossref
doi:10.1145/3701625.3701669,Technical Debt Management in Agile Software Development: A Systematic Mapping Study,2024,Brazilian Symposium on Software Quality,10.1145/3701625.3701669,83e0a1f30847892c3c918f5a80969ffd4f05208a,sms,doi_10.1145_3701625.3701669.json,crossref_ok,20 refs from Crossref
doi:10.2139/ssrn.3606172,"Investigate, Identify and Estimate the Technical Debt: A Systematic Mapping Study",2020,Social Science Research Network,10.2139/ssrn.3606172,f7119dfab2c9f5c0b6f6306de3a5c8a583ea9ba2,sms,doi_10.2139_ssrn.3606172.json,crossref_empty,no references in Crossref deposit
doi:10.21608/jcsr.2025.417802.1019,Systematic Literature Review of Technical Debt Competencies and Costs in Software Engineering: A Business Perspective,2025,مجلة الدراسات والبحوث التجارية,10.21608/jcsr.2025.417802.1019,1b3ea0919f1c60ea1ed43a0376a2a7c64ed7fa56,slr,doi_10.21608_jcsr.2025.417802.1019.json,crossref_empty,no references in Crossref deposit
doi:10.23919/cisti52073.2021.9476368,Agile Development Practices Applied to Software Startups : A Systematic Mapping Review,2021,Iberian Conference on Information Systems and Technologies,10.23919/CISTI52073.2021.9476368,1d9e16715199f5725b42a43da75beb257adb0b50,sms,doi_10.23919_cisti52073.2021.9476368.json,crossref_ok,5 refs from Crossref
doi:10.24251/hicss.2025.758,Creating an Encouraging Context: A Systematic Literature Review of Contextual Factors to Manage Technical Debt,2025,Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2025.758,6cabcd8dc8e68ace9e2ee194e2fbcf277c73c4e5,slr,doi_10.24251_hicss.2025.758.json,crossref_empty,no references in Crossref deposit
doi:10.30574/wjaets.2025.15.2.0459,Demystifying data pipelines for AI-driven financial systems,2025,World Journal of Advanced Engineering Technology and Sciences,10.30574/wjaets.2025.15.2.0459,3325b02dc04d0103c2a9ae6df8b956c9d864bc00,slr,doi_10.30574_wjaets.2025.15.2.0459.json,crossref_empty,no references in Crossref deposit
doi:10.33333/rp.vol57n1.10,Migration Strategies from Monolithic Applications to Cloud-Native Applications: A Systematic Review,2026,Revista Politécnica,10.33333/rp.vol57n1.10,61b5e5a6627f343e437e7d39d228f10c1503ad5e,slr,doi_10.33333_rp.vol57n1.10.json,crossref_empty,no references in Crossref deposit
doi:10.3390/systems14050591,An AI-Enhanced Technical Debt Management Framework for Aerospace and Defense Systems Engineering: Framework Design and Illustrative Application,2026,Systems,10.3390/systems14050591,1ec91419775da7b955d3212012a75f594708dd63,slr,doi_10.3390_systems14050591.json,crossref_ok,34 refs from Crossref
doi:10.37547/tajiir/volume08issue01-17,Managing Technical Debt While Migrating Long-Standing Legacy Code to A Modern Tech Stack,2026,The American Journal of Interdisciplinary Innovations and Research,10.37547/tajiir/volume08issue01-17,215d019166562491c6c2304c8aa92e6e2a296976,slr,doi_10.37547_tajiir_volume08issue01-17.json,crossref_empty,no references in Crossref deposit
doi:10.5121/ijsea.2018.9501,"Investigate, Identify and Estimate the Technical Debt: A Systematic Mapping Study",2018,International Journal of Software Engineering & Applications,10.5121/IJSEA.2018.9501,0beb68eb143b2b8d900ed728f049f2a7dc972e84,sms,doi_10.5121_ijsea.2018.9501.json,crossref_empty,no references in Crossref deposit
doi:10.5753/ise.2022.227051,Shedding Light on How Intelligent Techniques can Support Technical Debt Management and Influence Software Quality Attributes,2022,International Symposium on Information Science and Engineering,10.5753/ise.2022.227051,3d0c8e650220427ae41a23bf65bc5b709d916d29,slr,doi_10.5753_ise.2022.227051.json,crossref_ok,26 refs from Crossref
doi:10.61467/2007.1558.2025.v16i1.947,Systematic Review of Code Smell Patterns and Their Impact on Software Technical Debt,2026,International Journal of Combinatorial Optimization Problems and Informatics,10.61467/2007.1558.2025.v16i1.947,939d5c165e5c87b645206b2e4c5d06332dd181a1,slr,doi_10.61467_2007.1558.2025.v16i1.947.json,crossref_empty,no references in Crossref deposit
doi:10.61467/2007.1558.2025.v16i4.1150,"A Systematic Literature Review on Technical Debt in Software Development: Types, Tools, and Concerns",2025,International Journal of Combinatorial Optimization Problems and Informatics,10.61467/2007.1558.2025.v16i4.1150,0e1d662dcf9fb3ee84ba8b347f40d7857e188b6a,slr,doi_10.61467_2007.1558.2025.v16i4.1150.json,crossref_empty,no references in Crossref deposit
doi:10.70315/uloap.ulirs.2026.0301009,Accelerating Mobile Application Development and Testing with Artificial Intelligence: A Systematic Literature Review,2026,Universal Library of Innovative Research and Studies,10.70315/uloap.ulirs.2026.0301009,cf5ef144be1ef1c0de5ce650ac48a9a7dbfff2d9,slr,doi_10.70315_uloap.ulirs.2026.0301009.json,crossref_ok,28 refs from Crossref
ss:0e3ac7de691a092785b476a408d3f7bf76eb16ae,Trade-off Decisions Across Time in Technical Debt Management : Dataset of Papers used in a Systematic Literature Review,2018,,,0e3ac7de691a092785b476a408d3f7bf76eb16ae,slr,ss_0e3ac7de691a092785b476a408d3f7bf76eb16ae.json,pending, missing doi or cache filename
ss:a4252d6a5d9522a85984379f8ee3bf118df782c1,A systematic mapping study on technical debt definition,2015,,,a4252d6a5d9522a85984379f8ee3bf118df782c1,sms,ss_a4252d6a5d9522a85984379f8ee3bf118df782c1.json,pending, missing doi or cache filename
