paper_key,title,year,venue,source,verdict,reason,type,override_verdict
ss:2d9e1b0036740ea6a30c4674ab7b7e2f2eb2830e,ANTTI PARKKONEN ADOPTION OF MICROSERVICES IN INDUSTRIAL INFORMATION SYSTEMS: A SYSTEMATIC LITERATURE REVIEW,2018,,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1016/j.jss.2025.112500,Assessment of performance and its scalability in microservice architectures: Systematic literature review,2025,Journal of Systems and Software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.3390/w13050592,Living and Prototyping Digital Twins for Urban Water Systems: Towards Multi-Purpose Value Creation Using Models and Sensors,2021,Water,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1007/s10664-021-09999-9,Industry practices and challenges for the evolvability assurance of microservices,2021,Empirical Software Engineering,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.24215/16666038.25.e11,Scalability in Microservices: A systematic literature review,2025,Journal of Computational Science and Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.30574/wjaets.2025.15.2.0459,Demystifying data pipelines for AI-driven financial systems,2025,World Journal of Advanced Engineering Technology and Sciences,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.14569/ijacsa.2024.0151218,Security Gap in Microservices: A Systematic Literature Review,2024,International Journal of Advanced Computer Science and Applications,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/ichora65333.2025.11016980,Identifying Limitations in End-to-End Testing: A Systematic Review of Coverage Analysis Techniques,2025,"2025 7th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)",semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1016/j.infsof.2020.106449,Understanding and addressing quality attributes of microservices architecture: A Systematic literature review,2021,Information and Software Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.15514/ispras-2024-36(1)-7,Research Trends and Recommendations for Future Microservices Research,2024,Proceedings of the Institute for System Programming of RAS,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/csr64739.2025.11130035,Security Challenges and Solutions in Containerized Environments: A Comprehensive Review,2025,Computer Science Symposium in Russia,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.65521/ijacte.v14i2.2127,"A Comprehensive Review of Quasi-Deterministic Authentication in High-Load Web Systems: Security Models, Optimization Techniques, and Emerging Computing Applications",2025,International Journal on Advanced Computer Theory and Engineering,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.48550/arxiv.2410.00623,Adoption and Adaptation of CI/CD Practices in Very Small Software Development Entities: A Systematic Literature Review,2024,arXiv.org,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1016/j.jss.2022.111393,Smells and Refactorings for Microservices Security: A Multivocal Literature Review,2021,Journal of Systems and Software,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1109/access.2024.3389064,Energy Consumption in Microservices Architectures: A Systematic Literature Review,2024,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
ss:46381c03a0f19341144fba61325381d295c9333f,"Migration from Monolithic Applications to Microservices: A Systematic Literature Mapping on Approaches, Challenges, and Anti-patterns",2023,ICAI Workshops,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.59200/icarti.2023.021,Orchestration Tools For Efficient Deployment of IoT Applications In Fog Computing: A Systematic Review,2023,International Conference on Artificial Intelligence and its Applications,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/iestec54539.2022.00042,A Systematic Review of the Software Architectures for the Development of Mobile Applications in Education,2022,"2022 8th International Engineering, Sciences and Technology Conference (IESTEC)",semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.59324/ejsmt.2025.1(6).27,Strategic Imperatives and Technological Paradigms for Creating Modern CRM Systems: From Process Reengineering to Intelligent Automation,2025,EJSMT,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.5281/zenodo.3731259,Industry Practices and Challenges for the Evolvability Assurance of Microservices: A Systematic Grey Literature Review,2020,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1016/j.jss.2023.111906,Monitoring tools for DevOps and microservices: A systematic grey literature review,2024,Journal of Systems and Software,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.30574/wjaets.2025.16.1.1180,Cloud-native architecture transformation strategies for legacy systems in regulated industries,2025,World Journal of Advanced Engineering Technology and Sciences,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.14569/ijacsa.2024.0151013,Migrating from Monolithic to Microservice Architectures: A Systematic Literature Review,2024,International Journal of Advanced Computer Science and Applications,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/icts67612.2025.11369715,Challenges and Mitigation Strategies in Migrating from Monolithic Systems to Microservices: a Systematic Literature Review,2025,2025 15th International Conference on Information & Communication Technology and System (ICTS),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/conisoft.2019.00034,Quality attributes in patterns related to microservice architecture: a Systematic Literature Review,2019,2019 7th International Conference in Software Engineering Research and Innovation (CONISOFT),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1145/3797911,Energy-Efficient Resource Management in Microservices-Based Fog and Edge Computing: State-of-the-Art and Future Directions,2025,ACM Computing Surveys,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1109/tse.2025.3603897,A Systematic Literature Review of Machine Learning Approaches for Migrating Monolithic Systems to Microservices,2025,IEEE Transactions on Software Engineering,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/jiot.2024.3435496,A Systematic Literature Review of IoT System Architectural Styles and Their Quality Requirements,2024,IEEE Internet of Things Journal,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/access.2024.3402832,Prioritizing DevOps Implementation Guidelines for Sustainable Software Projects,2024,IEEE Access,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.15514/ispras-2023-35(1)-4,Microservice Deployment,2023,Proceedings of the Institute for System Programming of RAS,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
ss:5919c846bd909c3676afa212fdb8ce629b1bd290,Selection Methods for Criticality in Microservices Architectures: A Systematic Mapping,2020,Conferencia Iberoamericana de Software Engineering,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,sms,
doi:10.1109/icitsi.2018.8695927,"Microservice Platform for Smart City: Concepts, Services and Technology",2018,International Conference on Information Technology Systems and Innovation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.22399/ijcesen.977,A Comparative Analysis of Programming Languages Used in Microservices,2025,International Journal of Computational and Experimental Science and Engineering,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.37934/araset.63.1.120142,Empowering Industry 4.0: Revolutionizing Data Exchange with Reactive Microservices-based Data Connector,2025,Journal of Advanced Research in Applied Sciences and Engineering Technology,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1109/inciscos49368.2019.00056,A Systematic Literature Review on Composition of Microservices through the Use of Semantic Annotations: Solutions and Techniques,2019,International Conference Information Systems and Computer Science,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1108/dlp-03-2022-0024,A literature review on digital content management: trends and future challenges,2022,Digital Library Perspectives,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.21275/es24809100005,Automation of Microservices Testing: Effective Strategies and Tools,2024,International Journal of Science and Research (IJSR),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/tsc.2025.3621564,A Systematic Literature Review on Fault Injection Testing of Microservice Systems,2025,IEEE Transactions on Services Computing,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s10462-023-10684-0,Machine learning methods for service placement: a systematic review,2024,Artificial Intelligence Review,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.53469/jrse.2025.07(05).01,Automated Validation Framework for Microservice Architectures,2025,Journal of Research in Science and Engineering,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/conisoft63288.2024.00026,System-Oriented Testing on the Microservices Architecture: A Systematic Literature Review,2024,2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.59651/digital.v16i2.301,Microservices in strategic public service delivery: a systematic review and future research agenda for smart governance,2025,Digital Business,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1134/s0361768822080151,A Microservice Deployment Guide,2022,Programming and computer software,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/iiai-aai-winter61682.2023.00022,Analyzing the Impact of Service Design on Maintainability Factor in Microservices Architecture,2023,2023 15th International Congress on Advanced Applied Informatics Winter (IIAI-AAI-Winter),semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.15514/ispras-2021-33(1)-6,Patterns Related to Microservice Architecture: a Multivocal Literature Review,2021,Proceedings of the Institute for System Programming of RAS,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.37118/ijdr.30218.10.2025,Big data in agriculture: leveraging large datasets to analyse and improve rice production for better decision-making and operational efficiency,2025,International Journal of Development Research,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.38124/ijsrmt.v3i4.407,Evaluating Serverless Computing and Microservices Impact on Scalable Cloud-Native Applications and Blockchain Interoperability Frameworks,2024,International Journal of Scientific Research and Modern Technology,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1002/stvr.70006,Ensuring Syntactic Interoperability Using Consumer‐Driven Contract Testing,2025,"Software testing, verification & reliability",semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/icecet63943.2025.11472208,AI-Powered Service-Based ADAS Systems: A Preliminary Systematic Literature Review,2025,"2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/ic2ie60547.2023.10331155,"Analyzing Microservices and Monolithic Systems: Key Factors in Architecture, Development, and Operations",2023,2023 6th International Conference of Computer and Informatics Engineering (IC2IE),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.14569/ijacsa.2018.090139,Matrix Clustering based Migration of System Application to Microservices Architecture,2018,,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1002/smr.2433,The operation and maintenance governance of microservices architecture systems: A systematic literature review,2022,J. Softw. Evol. Process.,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1134/s0361768825700422,Software Testing on Microservices-Based Systems: A Systematic Literature Review and Thematic Analysis,2025,Programming and computer software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.38124/ijisrt/25mar1311,Trends in Software Architecture Designs: Evolution and Current State,2025,International Journal of Innovative Science and Research Technology,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1145/3785520.3785525,Systematic Review of Identity-Centric Security in Cloud-Native CI/CD Pipelines,2025,CCIOT,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1134/s0361768824700749,Domain-Driven Design in Microservices-Based Systems Development: A Systematic Literature Review and Thematic Analysis,2024,Programming and computer software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.5121/csit.2021.111701,Confidentiality and Integrity Mechanisms for Microservices Communication,2021,Computer Science and Information Technology Trends,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.12720/jait.14.5.991-1002,Research Opportunities in Microservices Quality Assessment: A Systematic Literature Review,2023,Journal of Advances in Information Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s00450-019-00420-x,The 13th advanced summer school on service-oriented computing,2020,SICS Software-Intensive Cyber-Physical Systems,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/978-3-319-62407-5_14,A Systematic Literature Review on Microservices,2017,Communication Systems and Applications,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.3991/ijim.v18i10.45929,Containerized Microservices for Mobile Applications Deployed on Cloud Systems,2024,International Journal of Interactive Mobile Technologies,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/icsa-c.2019.00025,Towards a Collaborative Repository for the Documentation of Service-Based Antipatterns and Bad Smells,2019,2019 IEEE International Conference on Software Architecture Companion (ICSA-C),semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
ss:869858c3f254f3c53169520a29ade4a097f85550,Toward Data-Driven Discovery of Software Vulnerabilities,2020,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1186/s40537-023-00733-4,Application of microservices patterns to big data systems,2023,Journal of Big Data,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.70315/uloap.ulirs.2024.0102013,Architectural Models for Building Scalable SaaS Platforms for the Automation of Corporate Business Processes,2024,Universal Library of Innovative Research and Studies,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/icst62969.2025.10989000,A Taxonomy of Integration-Relevant Faults for Microservice Testing,2025,International Conference on Information Control Systems & Technologies,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1016/j.jss.2021.111014,Deployment and communication patterns in microservice architectures: A systematic literature review,2021,Journal of Systems and Software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s10586-025-05690-6,Full stack optimization of microservice architecture: systematic review and research opportunity,2025,Cluster Computing,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.31294/jtk.v9i1.13954,Review Analisis Platform CICD dengan Metode Systematic Literature Review,2023,Jurnal Teknik Komputer,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s00450-019-00407-8,"Design principles, architectural smells and refactorings for microservices: a multivocal review",2019,SICS Software-Intensive Cyber-Physical Systems,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.48550/arxiv.2310.01905,"Domain-Driven Design in Software Development: A Systematic Literature Review on Implementation, Challenges, and Effectiveness",2023,Journal of Systems and Software,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1134/s0361768823080200,A Tertiary Study on Microservices: Research Trends and Recommendations,2023,Programming and computer software,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.14778/3484224.3484232,"Data Management in Microservices: State of the Practice, Challenges, and Research Directions",2021,Proceedings of the VLDB Endowment,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.54660/.ijfmr.2021.2.1.94-100,Systematic Review of API Gateway Patterns for Scalable and Secure Application Architecture,2021,Journal of Frontiers in Multidisciplinary Research,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1186/s42162-024-00385-5,"Digital Twins of smart energy systems: a systematic literature review on enablers, design, management and computational challenges",2024,Energy Informatics,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1109/icicyta68677.2025.11362635,"Resilient Microservices: A Systematic Review of Recovery Patterns, Strategies, and Evaluation Frameworks",2025,2025 5th International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.infsof.2025.107732,Reengineering software systems into microservices: State-of-the-art and future directions,2025,Information and Software Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.11591/eei.v14i3.9099,"Strategies, characteristics, and research gaps for improving microservices coupling design",2025,Bulletin of Electrical Engineering and Informatics,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.62225/2583049x.2023.3.6.4323,Systematic Review of Integration Techniques in Hybrid Cloud Infrastructure Projects,2023,International Journal of Advanced Multidisciplinary Research and Studies,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1016/j.jss.2018.09.082,The pains and gains of microservices: A Systematic grey literature review,2018,Journal of Systems and Software,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1109/access.2024.3365079,Evolution of Microservices Identification in Monolith Decomposition: A Systematic Review,2024,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/ictmod63116.2024.10878172,Software Architecture for Co-Innovation Projects,2024,"2024 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)",semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.34190/eccws.21.1.295,Building Software Applications Securely with DevSecOps: A Socio-Technical Perspective,2022,European Conference on Cyber Warfare and Security,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1145/3424771.3424812,On the Study of Microservices Antipatterns: a Catalog Proposal,2020,European Conference on Pattern Languages of Programs,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.15662/ijrpetm.2022.0502006,"Orchestrating Public Health Intelligence: Project-Driven Architectures for Scalable Disease Surveillance Systems A Comprehensive Analysis of Modern Surveillance Infrastructure, Interoperability Standards, and Artificial Intelligence Integration",2022,"International journal of research publications in engineering, technology and management",semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.1145/3643657.3643911,Modular Monolith: Is This the Trend in Software Architecture?,2024,2024 IEEE/ACM International Workshop New Trends in Software Architecture (SATrends),semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
ss:ae69bbddd54c176e5c93cd8d0b8cc1cdc23d173c,"Data Management in Microservices: State of the Practice, Challenges, and Research Directions (Extended Version)",2021,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.37547/tajet/volume07issue05-10,Optimization of Microservices Architecture Performance in High-Load Systems,2025,The American Journal of Engineering and Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.7287/peerj-cs.779v0.1/reviews/1,"Peer Review #1 of ""Microservice security: a systematic literature review (v0.1)""",2022,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.3389/fdgth.2025.1694839,Architectural patterns for health information systems: a systematic review,2025,Frontiers Digit. Health,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
ss:b33dc966870b485d5d107676a28284a65e3b3479,Arquitecturas software para microservicios: una revisión sistemática de la literatura,2018,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s42979-020-00359-w,A Systematic Review on Software Architectures for IoT Systems and Future Direction to the Adoption of Microservices Architecture,2020,SN Computer Science,semanticscholar,EXCLUDE,manual override; original auto verdict was EXCLUDE,slr,EXCLUDE
doi:10.48550/arxiv.2410.04334,AI Assistants for Incident Lifecycle in a Microservice Environment: A Systematic Literature Review,2024,arXiv.org,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:b7755bfb6c5db833837229d68c032689daa97a23,NETE Review of Architectural Patterns and Tactics for Microservices in Academic and Industrial Literature,2018,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1109/access.2024.3406500,A Systematic Literature Review of Inter-Service Security Threats and Mitigation Strategies in Microservice Architectures,2024,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.23919/cisti49556.2020.9141150,Microservices identification strategies : A review focused on Model-Driven Engineering and Domain Driven Design approaches,2020,Iberian Conference on Information Systems and Technologies,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/icsa-c54293.2022.00030,A Systematic Literature Review on Migration to Microservices: a Quality Attributes perspective,2022,2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.3390/app12115507,Challenges and Solution Directions of Microservice Architectures: A Systematic Literature Review,2022,Applied Sciences,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/tse.2023.3287297,Decomposition of Monolith Applications Into Microservices Architectures: A Systematic Review,2023,IEEE Transactions on Software Engineering,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
