paper_key,bucket,year,citationCount,title,venue,abstract_excerpt,KEEP_OR_DROP
doi:10.1007/s42979-020-00416-4,A,2021,91,Data-Driven Requirements Elicitation: A Systematic Literature Review,SN Computer Science,"Requirements engineering has traditionally been stakeholder-driven. In addition to domain knowledge, widespread digitalization has led to the generation of vast amounts of data (Big Data) from heterogeneous digital sources such as the Internet of Things (IoT), mobile devices, and social networks. The digital transforma…",
doi:10.1142/s021819401250009x,A,2012,88,Requirements Traceability: a Systematic Review and Industry Case Study,International journal of software engineering and knowledge engineering,,
doi:10.1016/j.csi.2019.103409,A,2020,82,Perspectives on risks and standards that affect the requirements engineering of blockchain technology,Comput. Stand. Interfaces,"Abstract Blockchain aims to transform businesses and other forms of transactions from a centralized, human-based to a shared, algorithm-based trust model, which enables a new risk management paradigm. Misaligned incentives in different principal – agent scenarios are important risk factors from governance point of view…",
doi:10.1016/j.jss.2016.11.031,A,2017,78,Integration between requirements engineering and safety analysis: A systematic literature review,Journal of Systems and Software,,
doi:10.1007/s00766-015-0220-8,A,2015,74,Reusable knowledge in security requirements engineering: a systematic mapping study,Requirements Engineering,"Security is a concern that must be taken into consideration starting from the early stages of system development. Over the last two decades, researchers and engineers have developed a considerable number of methods for security requirements engineering. Some of them rely on the (re)use of security knowledge. Despite so…",
ss:2daf52cd7155b44ff36ef3be8bacb12ec0419f43,A,2009,71,The effectiveness of requirements prioritization techniques for a medium to large number of requirements: a systematic literature review,,,
doi:10.1007/s00766-022-00381-9,A,2022,70,A systematic literature review of requirements engineering education,Requirements Engineering,Requirements engineering (RE) has established itself as a core software engineering discipline. It is well acknowledged that good RE leads to higher quality software and considerably reduces the risk of failure or budget-overspending of software development projects. It is of vital importance to train future software e…,
doi:10.1016/j.jss.2019.110396,A,2019,64,Leveraging creativity in requirements elicitation within agile software development: a systematic literature review,Journal of Systems and Software,"Agile approaches tend to focus solely on scoping and simplicity rather than on problem solving and discovery. This hampers the development of innovative solutions. Additionally, little has been said about how to capture and represent the real user needs. To fill this gap, some authors argue in favor of the application …",
doi:10.17632/zs9vkk7sb7.1,A,2020,63,Natural Language Processing (NLP) for Requirements Engineering: A Systematic Mapping Study,arXiv.org,"Natural language processing supported requirements engineering is an area of research and development that seeks to apply NLP techniques, tools and resources to a variety of requirements documents or artifacts to support a range of linguistic analysis tasks performed at various RE phases. Such tasks include detecting l…",
doi:10.1109/tse.2021.3051898,A,2021,57,The Effects of Human Aspects on the Requirements Engineering Process: A Systematic Literature Review,IEEE Transactions on Software Engineering,"Requirements Engineering (RE) requires the collaboration of various roles in SE, such as requirements engineers, stakeholders and other developers, and it is thus a very highly human dependent process in software engineering (SE). Identifying how “human aspects” – such as personality, motivation, emotions, communicatio…",
doi:10.1145/2245276.2231945,A,2012,57,A systematic mapping study on creativity in requirements engineering,ACM Symposium on Applied Computing,,
doi:10.1007/978-3-319-16101-3_22,A,2015,55,A Systematic Literature Review of Requirements Prioritization Criteria,Requirements Engineering: Foundation for Software Quality,,
doi:10.1016/j.jss.2018.09.001,A,2018,52,Requirements traceability technologies and technology transfer decision support: A systematic review,Journal of Systems and Software,"Abstract Requirements traceability (RT) is a core activity in Requirements Engineering. Various types of RT technologies have been extensively studied for decades. In this paper, we present a systematic literature review from 114 papers between 2006 and 2016 on RT techniques. We summarized 10 major challenges in curren…",
doi:10.1109/re51729.2021.00008,A,2021,52,What’s up with Requirements Engineering for Artificial Intelligence Systems?,IEEE International Requirements Engineering Conference,"In traditional approaches to building software systems (that do not include an Artificial Intelligent (AI) or Machine Learning (ML) component), Requirements Engineering (RE) activities are well-established and researched. However, building software systems with one or more AI components may depend heavily on data with …",
ss:a32d839006bf717f722d9888112b4d26aec55532,A,2017,52,A SYSTEMATIC LITERATURE REVIEW ABOUT SOFTWARE REQUIREMENTS ELICITATION,,,
doi:10.1109/access.2018.2874981,A,2018,51,A Systematic Study on Software Requirements Elicitation Techniques and its Challenges in Mobile Application Development,IEEE Access,"Software Requirements Engineering has paved its roots in both industry and academia, as today’s complex systems are programmed to provide efficient user-centric functionalities. This also refers to the emergence of challenges in Requirements Elicitation techniques, approaches, and tools while performing them. Particula…",
doi:10.3390/electronics13112055,A,2024,50,A Systematic Literature Review on Using Natural Language Processing in Software Requirements Engineering,Electronics,"This systematic literature review examines the integration of natural language processing (NLP) in software requirements engineering (SRE) from 1991 to 2023. Focusing on the enhancement of software requirement processes through technological innovation, this study spans an extensive array of scholarly articles, confere…",
doi:10.1109/seaa53835.2021.00013,A,2021,49,Requirements Engineering for Machine Learning: A Systematic Mapping Study,EUROMICRO Conference on Software Engineering and Advanced Applications,"Machine learning (ML) has become a core feature for today’s real-world applications, making it a trending topic for the software engineering community. Requirements Engineering (RE) is no stranger to this and its main conferences have included workshops aiming at discussing RE in the context of ML. However, current res…",
doi:10.1109/re.2016.61,A,2016,46,Requirements Engineering Visualization: A Systematic Literature Review,IEEE International Requirements Engineering Conference,,
doi:10.4018/jitr.2018010104,A,2017,43,A Systematic Mapping Study on Requirements Engineering in Software Ecosystems,Journal of Information Technology Research,Software ecosystems (SECOs) and open innovation processes have been claimed as a way forward for the software industry. A proper understanding of requirements is as important for SECOs as for more traditional ones. This article presents a mapping study on the issues of RE and quality aspects in SECOs. Our findings indi…,
doi:10.1007/s00766-023-00411-0,A,2024,42,Advances in automated support for requirements engineering: a systematic literature review,Requirements Engineering,"Requirements Engineering (RE) has undergone several transitions over the years, from traditional methods to agile approaches emphasising increased automation. In many software development projects, requirements are expressed in natural language and embedded within large volumes of text documents. At the same time, RE a…",
doi:10.1007/s00766-019-00326-9,A,2019,41,Cultural influence on requirements engineering activities: a systematic literature review and analysis,Requirements Engineering,,
doi:10.1109/empire.2013.6615215,A,2013,41,Requirements prioritization in software engineering: A systematic mapping study,2013 3rd International Workshop on Empirical Requirements Engineering (EmpiRE),,
doi:10.1016/j.infsof.2023.107264,A,2023,40,Use of personas in Requirements Engineering: A systematic mapping study,Information and Software Technology,,
doi:10.1002/spe.70029,A,2024,39,Generative AI for Requirements Engineering: A Systematic Literature Review,"Software, Practice & Experience","Requirements engineering (RE) faces challenges due to the handling of increasingly complex software systems. These challenges can be addressed using generative artificial intelligence (GenAI). Given that GenAI‐based RE has not been systematically analyzed in detail, this review examines the related research, focusing o…",
ss:35d6a991d7972e05161b047c14f4225351fb2a20,A,2006,39,A Systematic Review of Software Requirements Prioritization,,,
doi:10.1109/seaa.2018.00080,A,2018,39,A Systematic Mapping Study on Security in Agile Requirements Engineering,EUROMICRO Conference on Software Engineering and Advanced Applications,"[Background] The rapidly changing business environments in which many companies operate is challenging traditional Requirements Engineering (RE) approaches. This gave rise to agile approaches for RE. Security, at the same time, is an essential non-functional requirement that still tends to be difficult to address in ag…",
doi:10.1109/svr.2013.52,A,2013,37,The Relationship between Requirements Engineering and Virtual Reality Systems: A Systematic Literature Review,2013 XV Symposium on Virtual and Augmented Reality,,
doi:10.3390/app10176125,A,2020,36,Requirements Engineering in Software Startups: A Systematic Mapping Study,Applied Sciences,"Startups have high failure rates due to their inability to attain a sufficient product/market fit, i.e., delivering a solution that best matches the user needs in the market. Requirement engineering is the activity that could help startup teams identify the value proposition that provides high value to the users and co…",
doi:10.1002/smr.2199,A,2019,36,A systematic mapping study on crowdsourced requirements engineering using user feedback,J. Softw. Evol. Process.,"Crowdsourcing is an appealing concept for achieving good enough requirements and just‐in‐time requirements engineering (RE). A promising form of crowdsourcing in RE is the use of feedback on software systems, generated through a large network of anonymous users of these systems over a period of time. Prior research ind…",
doi:10.1109/access.2018.2840322,A,2018,36,A Readiness Model for Security Requirements Engineering,IEEE Access,The focus on secure software development has been growing steadily in all phases of the software development life cycle. Security awareness in the requirements engineering stage of software development is important in building secure software. One of the major issues faced by the software industry is that many organiza…,
doi:10.1109/access.2021.3064424,A,2021,34,A Qualitative Study on Non-Functional Requirements in Agile Software Development,IEEE Access,"Context: Widespread use of agile software development (ASD) methods can be observed nowadays. Non-functional requirements (NFRs) are often reported to be a problematic issue for agile projects, since ASD methods tend to neglect NFRs while focusing on incremental delivery of functional features. Despite that, only very …",
doi:10.1007/s00766-023-00402-1,A,2023,34,Requirements engineering for sustainable software systems: a systematic mapping study,Requirements Engineering,"Various approaches toward the development of sustainable software systems have been proposed by the requirements engineering community over the last decade. We conducted a systematic mapping study, analyzed 55 publications, and identified 29 approaches that have been published since the year 2000. We analyzed how the a…",
doi:10.1109/empire.2014.6890110,A,2014,33,Systematic reviews in requirements engineering: A tertiary study,2014 IEEE 4th International Workshop on Empirical Requirements Engineering (EmpiRE),,
doi:10.1007/s00766-022-00382-8,A,2022,33,Privacy requirements elicitation: a systematic literature review and perception analysis of IT practitioners,Requirements Engineering,,
doi:10.1109/quatic.2018.00025,A,2018,32,Gamification in Requirements Engineering: A Systematic Review,Quality of Information and Communications Technology,"Gamification has been applied to a large diversity of settings in recent years, with encouraging and promising results. In the Software Engineering context, there are some research works that focused on the application of gamification in Requirements Engineering that need to be better analyzed and understood. Does gami…",
doi:10.1016/j.cose.2020.101852,A,2020,32,A maturity model for secure requirements engineering,Computers & security,Abstract Security is considered to be a critical software quality attribute. Tackling security at the requirements phase helps to avoid the need to rework secure software development issues. The aim of this paper is to develop a Requirements Engineering (RE) Security Maturity Model (RESMM) to assist software developmen…,
doi:10.3390/info14060322,A,2023,32,Agile Software Requirements Engineering Challenges-Solutions - A Conceptual Framework from Systematic Literature Review,Inf.,"Agile software requirements engineering processes enable quick responses to reflect changes in the client’s software requirements. However, there are challenges associated with agile requirements engineering processes, which hinder fast, sustainable software development. Research addressing the challenges with availabl…",
doi:10.1109/iciev.2012.6317443,A,2012,31,A systematic review on creativity techniques for requirements engineering,"International Conference on Informatics, Electronics and Vision",,
doi:10.1109/access.2018.2874096,A,2018,30,On the Risks and Safeguards for Requirements Engineering in Global Software Development: Systematic Literature Review and Quantitative Assessment,IEEE Access,"Requirements engineering (RE) is a critical process in software development which faces important risks when performed in a global software development (GSD) setting. Some of these risks are specific to GSD, while others also appear in co-localized environments but are aggravated in GSD. A systematic literature review …",
doi:10.1109/mysec.2014.6985985,A,2014,30,Requirements prioritization techniques and different aspects for prioritization a systematic literature review protocol,2014 8th. Malaysian Software Engineering Conference (MySEC),,
doi:10.1007/s00766-024-00432-3,A,2024,29,"How mature is requirements engineering for AI-based systems? A systematic mapping study on practices, challenges, and future research directions",Requirements Engineering,"Artificial intelligence (AI) permeates all fields of life, which resulted in new challenges in requirements engineering for artificial intelligence (RE4AI), e.g., the difficulty in specifying and validating requirements for AI or considering new quality requirements due to emerging ethical implications. It is currently…",
doi:10.1145/2601248.2601257,A,2014,27,"Software paradigms, assessment types and non-functional requirements in model-based integration testing: a systematic literature review",International Conference on Evaluation & Assessment in Software Engineering,,
doi:10.1109/sbes.2014.13,A,2014,26,A Systematic Review on the Use of Ontologies in Requirements Engineering,Brazilian Symposium on Software Engineering,,
doi:10.1007/s00766-022-00391-7,A,2022,25,Guidelines adopted by agile teams in privacy requirements elicitation after the Brazilian general data protection law (LGPD) implementation,Requirements Engineering,"The Brazilian General Data Protection Law (LGPD) implementation has impacted activities carried out by the software development teams. Due to it, developers had to become aware of the existing techniques and tools to carry out privacy requirements elicitation. Extending our previous work, we have investigated the actio…",
doi:10.1109/re51729.2021.00030,A,2021,24,A Survey of Instructional Approaches in the Requirements Engineering Education Literature,IEEE International Requirements Engineering Conference,"Requirements engineering (RE) has established itself as a core software engineering discipline. It is well acknowledged that good RE leads to higher quality software and considerably reduces the risk of failure or exceeding budgets of software development projects. Therefore, it is of vital importance to train future s…",
ss:1cfef5e49996f3063124c1a8b5804a56c43dc84e,A,2015,24,Requirements Engineering in Agile Projects: A Systematic Mapping based in Evidences of Industry,Conferencia Iberoamericana de Software Engineering,,
doi:10.1007/s00766-024-00423-4,A,2024,24,Understanding the GDPR from a requirements engineering perspective—a systematic mapping study on regulatory data protection requirements,Requirements Engineering,"Data protection compliance is critical from a requirements engineering (RE) perspective, both from a software development lifecycle (SDLC) perspective and regulatory compliance. Not including these requirements from the early phases of the SDLC can prove costly and challenging afterward. The general data protection reg…",
doi:10.1109/icse-companion52605.2021.00137,A,2021,24,"NLP for Requirements Engineering: Tasks, Techniques, Tools, and Technologies",2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"Requirements engineering (RE) is one of the most natural language-intensive fields within the software engineering area. Therefore, several works have been developed across the years to automate the analysis of natural language artifacts that are relevant for RE, including requirements documents, but also app reviews, …",
doi:10.1109/re51729.2021.00013,A,2021,24,Agile Teams’ Perception in Privacy Requirements Elicitation: LGPD’s compliance in Brazil,IEEE International Requirements Engineering Conference,"Context: The implementation of the Brazilian General Data Protection Law (LGPD) may impact activities carried out by the software development teams. It is necessary for developers to know the existing techniques and tools to carry out privacy requirements elicitation. Objectives: In this research, we investigated the p…",
ss:c30257a70e120e62005b45258a367dbd47f2ac23,A,2008,24,Updating a Systematic Review about Selection of Software Requirements Elicitation Techniques,Workshop em Engenharia de Requisitos,Quality of software producis is closely related to the elicitation requirement process. Several studies point out that elicitation techniques achieve different results when applied in different contexts. This paper presents some recommendations about the situations in which elicitation techniques are useful. Recommenda…,
doi:10.5220/0001995403630366,A,2009,23,A Systematic Literature Review of Requirements Engineering in Distributed Software Development Environments,International Conference on Enterprise Information Systems,"On analyzing the main characteristics of Distributed Software Development (DSD) phenomenon, we can notice that they particularly affect Requirements Engineering (RE). With the evolution of this phenomenon, the result is an increasing in the existent literature. For this reason, in this paper we report from a systematic…",
doi:10.1109/access.2021.3076921,A,2021,23,Exploring Automated GDPR-Compliance in Requirements Engineering: A Systematic Mapping Study,IEEE Access,"The General Data Protection Regulation (GDPR), adopted in 2018, profoundly impacts information processing organizations as they must comply with this regulation. In this research, we consider GDPR-compliance as a high-level goal in software development that should be addressed at the outset of software development, mea…",
doi:10.1109/icssp.2012.6225965,A,2012,23,Systematic mapping of recommendation systems for requirements engineering,International Conference on Software and Systems Process,,
doi:10.1007/978-3-030-67084-9_6,A,2021,23,A Systematic Literature Review on Implementing Non-functional Requirements in Agile Software Development: Issues and Facilitating Practices,International Conference on Lean and Agile Software Development,,
doi:10.1016/j.infsof.2024.107622,A,2024,22,Systematic Mapping Study on Requirements Engineering for Regulatory Compliance of Software Systems,Information and Software Technology,"Context: As the diversity and complexity of regulations affecting Software-Intensive Products and Services (SIPS) is increasing, software engineers need to address the growing regulatory scrutiny. As with any other non-negotiable requirements, SIPS compliance should be addressed early in SIPS engineering - i.e., during…",
doi:10.1109/access.2020.2979468,A,2020,22,A Systematic Study to Improve the Requirements Engineering Process in the Domain of Global Software Development,IEEE Access,"The software organizations are outsourcing their development activities across the geographical border due to huge business gains. However, the adoption of the global software development (GSD) paradigm is not straightforward; various challenges are associated with it, particularly related to the requirements engineeri…",
doi:10.1007/978-3-642-04394-9_62,A,2009,22,Requirements Engineering in the Development of Multi-Agent Systems: A Systematic Review,Ideal,,
doi:10.1109/access.2023.3343252,A,2023,22,A Systematic Literature Review of AI-Based Software Requirements Prioritization Techniques,IEEE Access,"Software requirements show what the customer desires his software to do. They are the first stepping stone towards a successful software development project. With the increasing complexity of the software due to its size and feature base, it is vital to prioritize the requirements for efficient utilization of developme…",
doi:10.1016/j.csi.2017.12.001,A,2017,21,Software patterns and requirements engineering activities in real-world settings: A systematic mapping study,Comput. Stand. Interfaces,,
doi:10.1007/s13369-019-04067-3,A,2019,20,A Systematic Review and Analytical Evaluation of Security Requirements Engineering Approaches,The Arabian journal for science and engineering,,
doi:10.3390/app12157582,A,2022,19,Requirements Engineering for Internet of Things (loT) Software Systems Development: A Systematic Mapping Study,Applied Sciences,"The Internet of Things (IoT) paradigm is growing, affecting human life and aiming to solve problems in the real world, i.e., in education, healthcare, smart homes, intelligent transportation, and other areas. However, it is a fact that the development of IoT systems is complicated compared to that of traditional softwa…",
doi:10.3390/su13126748,A,2021,19,Reliable Requirements Engineering Practices for COVID-19 Using Blockchain,Sustainability,"Improvement in the requirements for engineering practices is needed in areas such as requirement elicitation, validation, prioritization, and negotiations between stakeholders to create successful projects for COVID-19 (coronavirus disease 2019) software. Many algorithms and techniques are used to create quality softwa…",
doi:10.48550/arxiv.2509.11446,A,2025,19,Large Language Models (LLMs) for Requirements Engineering (RE): A Systematic Literature Review,arXiv.org,"Large Language Models (LLMs) are finding applications in numerous domains, and Requirements Engineering (RE) is increasingly benefiting from their capabilities to assist with complex, language-intensive tasks. This paper presents a systematic literature review of 74 primary studies published between 2023 and 2024, exam…",
ss:89cd1afffc4d13fdbd3a0e9f70a4040abe23c13b,A,2016,19,Ontologies for Privacy Requirements Engineering: A Systematic Literature Review,arXiv.org,"Privacy has been frequently identified as a main concern for system developers while dealing with/managing personal information. Despite this, most existing work on privacy requirements deals with them as a special case of security requirements. Therefore, key aspects of privacy are, usually, overlooked. In this contex…",
doi:10.1145/3507903,A,2022,19,Dynamic Testing Techniques of Non-functional Requirements in Mobile Apps: A Systematic Mapping Study,ACM Computing Surveys,"Context: The mobile app market is continually growing offering solutions to almost all aspects of people’s lives, e.g., healthcare, business, entertainment, as well as the stakeholders’ demand for apps that are more secure, portable, easy to use, among other non-functional requirements (NFRs). Therefore, manufacturers …",
doi:10.1109/fit.2018.00014,A,2018,18,A Systematic Literature Review: Software Requirements Prioritization Techniques,International Conference on Frontiers of Information Technology,Background: Requirement prioritization plays key role in software development process. It is essential to prioritize the requirements for making the correct decision for either a single or multiple release of a product. In this paper we performed a systematic analysis on some of the significant factors like importance …,
ss:d2bf80275cd1757877e1a3de57b36e098ccbab6a,A,2019,18,Requirements Prioritization Techniques Focusing on Agile Software Development: A Systematic Literature Review,,,
ss:08b53b8154ab037e88b92b36ce8d195ac79d045d,A,2017,17,Systematic Mapping Protocol: The impact of using software patterns during requirements engineering activities in real-world settings,arXiv.org,"This document details the planning phase of a Systematic Mapping Study (SMS). Our goal is to identify the software patterns used during the RE phase, in real-world setting (i.e., in real projects), not in academia (toy projects) and, to understand the impact of their application, in terms of different characteristics, …",
doi:10.3390/electronics13152989,A,2024,17,Systematic Review on Requirements Engineering in Quantum Computing: Insights and Future Directions,Electronics,"Context: Quantum software development is a complex and intricate process that diverges significantly from traditional software development. Quantum computing and quantum software are deeply entangled with quantum mechanics, which introduces a different level of abstraction and a deep dependence on quantum physical prop…",
doi:10.1109/conisoft50191.2020.00013,A,2020,15,Requirements Prioritization Techniques in the last decade: A Systematic Literature Review,2020 8th International Conference in Software Engineering Research and Innovation (CONISOFT),"Requirements Prioritization is an activity, part of Requirements Engineering, whose purpose is to determine the relevance that each requirement has within a software system to be developed. In order to conduct this activity, several requirements prioritization techniques have been proposed. However, companies and softw…",
doi:10.1007/s10845-021-01753-8,A,2021,15,A systematic mapping of semi-formal and formal methods in requirements engineering of industrial Cyber-Physical systems,Journal of Intelligent Manufacturing,,
doi:10.1049/iet-sen.2019.0190,A,2020,14,Factors influencing the requirements engineering process in offshore software development outsourcing environments,IET Software,Offshore software development outsourcing (OSDO) is one of the popular development paradigms in the software industry. There are a number of challenges associated with OSDO including the challenges related to requirements engineering (RE) process. The objective of this study is to identify success factors (SFs) associa…,
doi:10.1109/mysec.2014.6985987,A,2014,14,Systematic reviews in requirements engineering: A systematic review,2014 8th. Malaysian Software Engineering Conference (MySEC),,
doi:10.1145/3350768.3352584,A,2019,14,Requirements Engineering and Software Testing in Agile Methodologies: a Systematic Mapping,Brazilian Symposium on Software Engineering,"The insertion of agile practices in software development has increased exponentially. Both industry and academic staff constantly face challenges related to requirements specification and testing in this context. In this study, we conducted a systematic mapping of the literature to investigate the practices, strategies…",
doi:10.1145/3477314.3507004,A,2022,13,Requirements engineering for autonomous vehicles: a systematic literature review,ACM Symposium on Applied Computing,"Context: Autonomous Vehicles (AVs) will transform the way we live and work. Several benefits are envisaged, including: reduction in traffic deaths, drop in harmful emissions, improvement in fuel economy, reduction in travel time, and consumer savings. Indeed, the trend in the automobile industry is the development of A…",
doi:10.1109/tla.2020.9099757,A,2020,13,Seizing Requirements Engineering Issues through Supervised Learning Techniques,IEEE Latin America Transactions,"In recent years, the popularity of machine learning techniques has grown due to the availability of larges volumes of data and the increased processing capacity of computers. Despite the inherent value of these techniques, few studies have attempted to summarize how machine learning algorithms, especially supervised le…",
doi:10.1145/3439961.3439975,A,2020,13,Functional Requirements Elicitation in IoT Systems: a follow-up study,Brazilian Symposium on Software Quality,"As the Internet of Things (IoT) advances, specific views have been proposed for the entire software development cycle and also for Requirements Engineering (RE). The analysis of the use of RE techniques, tools, and models can contribute to obtain better results in this field. This paper presents a Systematic Mapping St…",
doi:10.15676/ijeei.2021.13.4.11,A,2021,13,Gamification and Gaming Elements for Software Requirements Elicitation: A Systematic Literature Review,International Journal on Electrical Engineering and Informatics,": Requirements elicitation holds a significant place in developing successful software, thus stands crucial for the success of any software project. There are numerous elicitation techniques present for eliciting requirements from the stakeholders, but these techniques are more textual in nature which give rise not onl…",
doi:10.1016/j.infsof.2025.107678,A,2025,13,Classification and challenges of non-functional requirements in ML-enabled systems: A systematic literature review,Information and Software Technology,,
doi:10.26555/ijain.v9i2.1082,A,2023,13,Understanding requirements dependency in requirements prioritization: a systematic literature review,International Journal of Advances in Intelligent Informatics,"Requirement prioritization (RP) is a crucial task in managing requirements as it determines the order of implementation and, thus, the delivery of a software system. Improper RP may cause software project failures due to over budget and schedule as well as a low-quality product. Several factors influence RP. One of whi…",
doi:10.1109/apsecw53869.2021.00011,A,2021,12,Landscape of Requirements Engineering for Machine Learning-based AI Systems,2021 28th Asia-Pacific Software Engineering Conference Workshops (APSEC Workshops),"Techniques and practices in RE are not well researched, although problems and the research challenges on requirements engineering (RE) for machine learning-based systems (MLS) are evaluated via empirical case studies. A systematic literature review of RE for MLS was conducted to guide practitioners and researchers to d…",
doi:10.1109/access.2022.3152073,A,2022,12,A Comparative Systematic Analysis of Stakeholder’s Identification Methods in Requirements Elicitation,IEEE Access,"[Context and Motivation] Before eliciting and gathering requirements for a software project, it is considered pivotal to know about concerned stakeholders. It becomes hard to elicit the actual system requirements without identifying relevant stakeholders, leading the software project to failure. Despite the paramount i…",
doi:10.2196/41344,A,2022,12,Functional Requirements for Medical Data Integration into Knowledge Management Environments: Requirements Elicitation Approach Based on Systematic Literature Analysis,Journal of Medical Internet Research,"Background In patient care, data are historically generated and stored in heterogeneous databases that are domain specific and often noninteroperable or isolated. As the amount of health data increases, the number of isolated data silos is also expected to grow, limiting the accessibility of the collected data. Medical…",
doi:10.3390/su16010433,A,2024,12,Evaluating the Role of Requirements Engineering Practices in the Sustainability of Electronic Government Solutions,Sustainability,The efficacy of electronic government (E-Government) initiatives relies significantly on requirements engineering (RE). Every government wants sustainable solutions in the implementation of E-Government projects. The current research has adopted a mix of research methods. After conducting a comprehensive systematic lit…,
doi:10.3390/software4030014,A,2025,12,Machine Learning Techniques for Requirements Engineering: A Comprehensive Literature Review,Software,Software requirements engineering is one of the most critical and time-consuming phases of the software-development process. The lack of communication with stakeholders and the use of natural language for communicating leads to misunderstanding and misidentification of requirements or the creation of ambiguous requirem…,
ss:6edc2eb13934262629eb8443c99f38368fd45508,A,2010,12,Systematic Mapping of Value-based Software Engineering : A Systematic Review of Value-based Requirements Engineering,,,
doi:10.1109/chase58964.2023.00020,A,2023,12,Emotions in Requirements Engineering: A Systematic Mapping Study,"IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",The purpose of requirements engineering (RE) is to make sure that the expectations and needs of the stakeholders of a software system are met. Emotional needs can be captured as emotional requirements that represent how the end user should feel when using the system. Differently from functional and quality (non-functio…,
doi:10.1007/978-3-030-05345-1_37,A,2018,11,A Systematic Mapping Study on Security Requirements Engineering Frameworks for Cyber-Physical Systems,"International Conference on Security, Privacy, and Anonymity in Computation, Communication, and Storage",,
doi:10.1016/j.infsof.2024.107477,A,2024,11,Machine learning for requirements engineering (ML4RE): A systematic literature review complemented by practitioners' voices from Stack Overflow,Information and Software Technology,,
doi:10.1016/j.scico.2018.08.001,A,2018,11,Non-functional requirements in model-driven development of service-oriented architectures,Science of Computer Programming,Abstract Any software development process needs to consider non-functional requirements (NFR) in order to deliver a system that complies with its stakeholders' expectations. In a previous mapping study about model-driven development (MDD) for service-oriented architectures (SOA) we found a limited number of approaches …,
