paper_key,bucket,year,citationCount,title,venue,abstract_excerpt,KEEP_OR_DROP
doi:10.1007/978-3-319-62407-5_14,A,2017,85,A Systematic Literature Review on Microservices,Communication Systems and Applications,,
doi:10.3390/app12115507,A,2022,74,Challenges and Solution Directions of Microservice Architectures: A Systematic Literature Review,Applied Sciences,"Microservice architecture (MSA) is an architectural style for distributed software systems, which promotes the use of fine-grained services with their own lifecycles. Several benefits of MSA have been reported in the literature, including increased modularity, flexible configurat…",
doi:10.1002/spe.2869,A,2019,68,Microservice transition and its granularity problem: A systematic mapping study,"Software, Practice & Experience","Microservices have gained wide recognition and acceptance in software industries as an emerging architectural style for autonomic, scalable, and more reliable computing. The transition to microservices has been highly motivated by the need for better alignment of technical design…",
doi:10.3390/app11177856,A,2021,65,On Microservice Analysis and Architecture Evolution: A Systematic Mapping Study,Applied Sciences,"Microservice architecture has become the leading design for cloud-native systems. The highly decentralized approach to software development consists of relatively independent services, which provides benefits such as faster deployment cycles, better scalability, and good separati…",
doi:10.1007/s42979-020-00359-w,A,2020,47,A Systematic Review on Software Architectures for IoT Systems and Future Direction to the Adoption of Microservices Architecture,SN Computer Science,,
doi:10.3390/app12063023,A,2022,45,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,Applied Sciences,"The microservice architectural style splits an application into small services, which are implemented independently, with their own deployment unit. This architecture can bring benefits, nevertheless, it also poses challenges, especially about security aspects. In this case, ther…",
doi:10.7717/peerj-cs.779,A,2022,45,Microservice security: a systematic literature review,PeerJ Computer Science,"Microservices is an emerging paradigm for developing distributed systems. With their widespread adoption, more and more work investigated the relation between microservices and security. Alas, the literature on this subject does not form a well-defined corpus: it is spread over m…",
doi:10.1109/clei47609.2019.235060,A,2019,41,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,Latin American Computing Conference / Conferencia Latinoamericana En Informatica,"Microservices is an architectural style that conceives systems as a modular, costumer, independent and scalable suite of services; it offers several advantages but its growing popularity has given rise to security challenges. Building secure systems is greatly helped by deploying…",
doi:10.1145/3424771.3424812,A,2020,33,On the Study of Microservices Antipatterns: a Catalog Proposal,European Conference on Pattern Languages of Programs,"Microservice architecture has become popular in the last few years as it allows the development of independent, highly reusable, and fine grained services. However, a lack of understanding of its core concepts and the absence of a ground-truth lead to design and implementation de…",
doi:10.1109/apsec51365.2020.00020,A,2020,33,Testing Microservices Architecture-Based Applications: A Systematic Mapping Study,Asia-Pacific Software Engineering Conference,"Microservices is an architectural style that provides several benefits to develop applications as small, independent, and modular services. Building Microservices Architecture (MSA)-based applications is immensely supported by using software testing fundamentals. With the increas…",
doi:10.1002/cae.22586,A,2022,33,A systematic mapping study: The new age of software architecture from monolithic to microservice architecture—awareness and challenges,Computer Applications in Engineering Education,Microservice architecture (MSA) is an emerging architectural style as an innovative approach that is growing in quality over time. Microservices are endorsed by various researchers to shatter the issues and limitations encountered by the use of aging approaches for monolithic leg…,
doi:10.1109/access.2022.3221130,A,2022,31,Visualizing Microservice Architecture in the Dynamic Perspective: A Systematic Mapping Study,IEEE Access,"As microservices become more popular, more drawbacks become apparent to developers. One issue that many teams face today is the failure to visualize the entire system architecture holistically. Without a full view of the system, the architecture can become convoluted as teams add…",
doi:10.1016/j.infsof.2024.107590,A,2024,28,Migration of monolithic systems to microservices: A systematic mapping study,Information and Software Technology,,
doi:10.7717/peerj-cs.695,A,2021,27,Defining and measuring microservice granularity—a literature overview,PeerJ Computer Science,"Background Microservices are an architectural approach of growing use, and the optimal granularity of a microservice directly affects the application’s quality attributes and usage of computational resources. Determining microservice granularity is an open research topic. Methodo…",
doi:10.1109/access.2024.3365079,A,2024,24,Evolution of Microservices Identification in Monolith Decomposition: A Systematic Review,IEEE Access,"Modernizing monolithic systems through microservices architectures (MSAs) promises significant benefits in terms of scalability, agility, and cloud adoption. However, this transition hinges on accurate and efficient microservices identification, a complex area of research still i…",
doi:10.1109/tla.2018.8789551,A,2018,23,Review of Architectural Patterns and Tactics for Microservices in Academic and Industrial Literature,IEEE Latin America Transactions,Microservices are an emerging trend for development of service-oriented software. This approach proposes to build each application as a collection of small services running on separate process and inter-communicating with lightweight mechanisms. Systematic development of microser…,
doi:10.1007/s00607-025-01432-z,A,2023,22,AI Techniques in the Microservices Life-Cycle: a Systematic Mapping Study,Computing,"The use of AI in microservices (MSs) is an emerging field as indicated by a substantial number of surveys. However these surveys focus on a specific problem using specific AI techniques, therefore not fully capturing the growth of research and the rise and disappearance of trends…",
doi:10.1109/access.2024.3406500,A,2024,21,A Systematic Literature Review of Inter-Service Security Threats and Mitigation Strategies in Microservice Architectures,IEEE Access,"Ensuring security is of paramount importance in microservice architectures, given their distributed nature, involving numerous services and network-spanning interactions. This architectural style, which can comprise hundreds to thousands of services, inherently presents a more ex…",
doi:10.1109/icsa-c54293.2022.00030,A,2022,21,A Systematic Literature Review on Migration to Microservices: a Quality Attributes perspective,2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C),Today’s system migration focuses on modernizing legacy and monolithic systems towards microservices’ architectures. This study aims at understanding if and how quality attributes improvement are explicitly driving the migration process. We designed and conducted a systematic lite…,
doi:10.3390/s24206771,A,2024,21,Exploring the Potential of Microservices in Internet of Things: A Systematic Review of Security and Prospects,Italian National Conference on Sensors,"With the rapid growth of Internet of Things (IoT) systems, ensuring robust security measures has become paramount. Microservices Architecture (MSA) has emerged as a promising approach for enhancing IoT systems security, yet its adoption in this context lacks comprehensive analysi…",
doi:10.1109/access.2023.3236165,A,2023,21,Visualizing Anti-Patterns in Microservices at Runtime: A Systematic Mapping Study,IEEE Access,"In the world of microservices, companies must be able to create systems that operate in the most efficient way. To achieve this, anti-patterns must be avoided because of their detriment to the quality of the system. Some of the most troubling anti-patterns are hard to detect beca…",
doi:10.3390/software4010006,A,2025,20,Designing Microservices Using AI: A Systematic Literature Review,Software,"Microservices architecture has emerged as a dominant approach for developing scalable and modular software systems, driven by the need for agility and independent deployability. However, designing these architectures poses significant challenges, particularly in service decomposi…",
doi:10.1002/spe.2967,A,2021,18,A systematic gray literature review: The technologies and concerns of microservice application programming interfaces,"Software, Practice & Experience","The microservice application programming interface (API) becomes a growing concern in the IT industry, as a result of the increasing usage of microservice architecture style. There exist many successful practices among companies, communities, and so on. In contrast, the related a…",
doi:10.1186/s40537-023-00733-4,A,2023,18,Application of microservices patterns to big data systems,Journal of Big Data,"The panorama of data is ever evolving, and big data has emerged to become one of the most hyped terms in the industry. Today, users are the perpetual producers of data that if gleaned and crunched, have the potential to reveal game-changing patterns. This has introduced an import…",
doi:10.1109/tse.2024.3385835,A,2024,18,Domain-Driven Design for Microservices: An Evidence-Based Investigation,IEEE Transactions on Software Engineering,"MicroService Architecture (MSA), a predominant architectural style in recent years, still faces the arduous task of identifying the boundaries of microservices. Domain-Driven Design (DDD) is regarded as one of the major design methods for addressing this task in practice, which a…",
doi:10.1109/seams51251.2021.00030,A,2021,16,Self-Adaptive Microservice-based Systems - Landscape and Research Opportunities,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,"Microservices have become popular in the past few years, attracting the interest of both academia and industry. Despite of its benefits, this new architectural style still poses important challenges, such as resilience, performance and evolution. Self-adaptation techniques have b…",
doi:10.3390/electronics13142885,A,2024,15,A Systematic Literature Review on the Strategic Shift to Cloud ERP: Leveraging Microservice Architecture and MSPs for Resilience and Agility,Electronics,"The COVID-19 pandemic has necessitated profound changes in the business and technology landscapes, compelling organizations to reassess their Enterprise Resource Planning (ERP) systems. Traditional ERP systems have demonstrated significant limitations in agility, scalability, and…",
doi:10.1109/access.2024.3389064,A,2024,15,Energy Consumption in Microservices Architectures: A Systematic Literature Review,IEEE Access,Cloud computing emerges as a paradigm that facilitates on-demand access to technological resources through the mechanism of service virtualization. This virtualization enables the partitioning of hardware resources among applications that are organized into distinct independent m…,
doi:10.23919/cisti49556.2020.9141150,A,2020,15,Microservices identification strategies : A review focused on Model-Driven Engineering and Domain Driven Design approaches,Iberian Conference on Information Systems and Technologies,"A proper architectural design for a microservices system is crucial for its success. Although there are several design strategies to identify software components in general, microservices demands special consideration. In this context of distributed systems, the component size di…",
ss:d5d90cbd31901aa93c41f5b58498bf5eb4cbf11d,A,2018,14,An Exploratory Study of Academic Architectural Tactics and Patterns in Microservices: A systematic literature review,Conferencia Iberoamericana de Software Engineering,,
doi:10.14569/ijacsa.2018.090139,A,2018,13,Matrix Clustering based Migration of System Application to Microservices Architecture,,A microservice architecture (MSA) style is an emerging approach which is gaining strength with the passage of time. Micro services are recommended by a number of researchers to overcome the limitations and issues encountered by usage of aging method of monolithic architecture sty…,
doi:10.1145/3644032.3644445,A,2024,13,An Overview of Microservice-Based Systems Used for Evaluation in Testing and Monitoring: A Systematic Mapping Study,International Conference/Workshop on Automation of Software Test,"Microservice-based systems have emerged as an effective architecture for countless industry applications. They provide applications as small, independent, and modular services. With the increasing interest in such systems, it is important to tackle challenges related to their qua…",
doi:10.1109/conisoft.2019.00034,A,2019,12,Quality attributes in patterns related to microservice architecture: a Systematic Literature Review,2019 7th International Conference in Software Engineering Research and Innovation (CONISOFT),"Microservices is an interesting option for those who want to migrate their systems to improve performance, maintainability, scalability, and interoperability. Microservice architecture is a collection of self-sufficient services working together to provide functionalities. Nowada…",
doi:10.21681/2311-3456-2020-04-32-43,A,2020,12,Authentication and authorization in microservice-based systems: survey of architecture patterns,Voprosy kiberbezopasnosti,Abstract Objective. Service-oriented architecture and its microservice-based approach increase an attack surface of applications. Exposed microservices become a pivot point for advanced persistent threats and completely change the threat landscape. Correctly implemented authentic…,
doi:10.1016/j.jss.2024.112232,A,2024,12,"Unveiling the microservices testing methods, challenges, solutions, and solutions gaps: A systematic mapping study",Journal of Systems and Software,,
doi:10.1007/978-3-319-99007-1_100,A,2018,10,A Systematic Mapping Study on Microservices,Advances in Intelligent Systems and Computing,,
doi:10.1016/j.infsof.2025.107732,A,2025,9,Reengineering software systems into microservices: State-of-the-art and future directions,Information and Software Technology,"Context: With the acknowledged benefits of microservices architectures, such as scalability, flexibility, improved maintenance, and deployment, legacy software systems are increasingly being reengineered into microservices. Recently, a plethora of methods, techniques, tools, and …",
doi:10.1145/3524304.3524306,A,2022,8,How Can We Cope with the Impact of Microservice Architecture Smells?,International Conference on Software and Computer Applications,"Context: Software Architecture Smells (AS) are potential software structure problems and always impact software quality negatively. And with the development of Microservice architecture, the Microservice Architecture Smells (MAS) have been attracting more and more attention. The …",
doi:10.14569/ijacsa.2024.0151013,A,2024,8,Migrating from Monolithic to Microservice Architectures: A Systematic Literature Review,International Journal of Advanced Computer Science and Applications,"— Migration from monolithic software systems to modern microservice architecture is a critical process for enhancing software systems' scalability, maintainability, and performance. This study conducted a systematic literature review to explore the various methodologies, techniqu…",
doi:10.1007/978-3-031-66326-0_1,A,2023,8,Tools Reconstructing Microservice Architecture: A Systematic Mapping Study,European Conference on Software Architecture,,
doi:10.48550/arxiv.2301.07803,A,2023,7,"Relating Edge Computing and Microservices by means of Architecture Approaches and Features, Orchestration, Choreography, and Offloading: A Systematic Literature Review",arXiv.org,"Context: Microservices running and being powered by Edge Computing have been gaining much attention in the industry and academia. Since 2014, when Martin Fowler popularized the Microservice term, many studies have been published relating these subjects to explore how the Edge's l…",
doi:10.1002/smr.2433,A,2022,7,The operation and maintenance governance of microservices architecture systems: A systematic literature review,J. Softw. Evol. Process.,"Due to its development agility, continuous delivery, scalability and other characteristics, the microservice architecture systems (MASs) have provided complex business functions to hundreds of millions of users in many application fields. The operation and maintenance governance …",
doi:10.5220/0010578905210532,A,2021,7,Microservices Adaptation using Machine Learning: A Systematic Mapping Study,International Conference on Software and Data Technologies,The Microservice architecture is increasingly becoming the preferred architecture of modern applications. The logically distinct components that make up microservices make continuous delivery easier compared to monolithic architectures. This feature however makes it difficult for…,
doi:10.1109/conisoft55708.2022.00032,A,2022,7,A Systematic Mapping Study on Technical Debt in Microservices,2022 10th International Conference in Software Engineering Research and Innovation (CONISOFT),"In recent years, the development of high-quality systems with a microservices architecture has drawn the attention of professionals and researchers. Software systems with a microservices architecture are relatively new; the study of technical debt in the context of Microservices …",
doi:10.1016/j.jss.2025.112500,A,2025,6,Assessment of performance and its scalability in microservice architectures: Systematic literature review,Journal of Systems and Software,,
doi:10.14445/22315381/ijett-v70i3p225,A,2022,6,Taxonomical Classification and Systematic Review on Microservices,international journal of engineering trends and technology,,
doi:10.4236/ojapps.2024.149167,A,2024,6,Current Trends in the Management of Distributed Transactions in Micro-Services Architectures: A Systematic Literature Review,Open Journal of Applied Sciences,,
doi:10.14569/ijacsa.2024.0151218,A,2024,5,Security Gap in Microservices: A Systematic Literature Review,International Journal of Advanced Computer Science and Applications,,
doi:10.1109/tse.2025.3603897,A,2025,5,A Systematic Literature Review of Machine Learning Approaches for Migrating Monolithic Systems to Microservices,IEEE Transactions on Software Engineering,"Scalability and maintainability challenges in monolithic systems have led to the adoption of microservices, which divide systems into smaller, independent services. However, migrating existing monolithic systems to microservices is a complex and resource-intensive task, which can…",
doi:10.1109/ic2ie60547.2023.10331155,A,2023,5,"Analyzing Microservices and Monolithic Systems: Key Factors in Architecture, Development, and Operations",2023 6th International Conference of Computer and Informatics Engineering (IC2IE),"Microservices and monolithic systems are two prevalent architectural approaches in software development. This study provides a complete review and analysis of the key components involved in design, development, and operation in software development. A systematic review of the lit…",
doi:10.12720/jait.14.5.991-1002,A,2023,5,Research Opportunities in Microservices Quality Assessment: A Systematic Literature Review,Journal of Advances in Information Technology,—The growth in the development of microservices has sparked interest in evaluating their quality. This study seeks to determine the key criteria and challenges in evaluating microservices to drive research and optimize processes. The systematic review of the literature presented …,
doi:10.1016/j.infsof.2025.107870,A,2025,5,Microservices testing: A systematic literature review,Information and Software Technology,,
doi:10.3390/electronics14071397,A,2025,5,"Systematic Mapping Study of Test Generation for Microservices: Approaches, Challenges, and Impact on System Quality",Electronics,"Software development underwent a significant shift with the adoption of microservice architecture. Such architecture offers modularity and scalability but introduces new testing challenges. This review aims to identify, categorize, and analyze key testing methods used in microser…",
doi:10.3390/computers14040133,A,2025,5,The Ontology-Based Mapping of Microservice Identification Approaches: A Systematic Study of Migration Strategies from Monolithic to Microservice Architectures,De Computis,"The Microservice Architecture Style (MSA) has emerged as a significant computing paradigm in software engineering, with companies increasingly restructuring their monolithic systems to enhance digital performance and competitiveness. However, the migration process, particularly t…",
doi:10.1007/978-3-030-32022-5_9,A,2019,5,Migration of Monolithic Applications Towards Microservices Under the Vision of the Information Hiding Principle: A Systematic Mapping Study,Advances in Intelligent Systems and Computing,,
doi:10.1145/3564982.3564995,A,2022,5,Using Database Schemas of Legacy Applications for Microservices Identification: A Mapping Study,International Conference on Advancements in Computational Sciences,"The extraction of software components or services from a legacy system, is a very active field of research especially after the introduction of the microservices architectures. There are many different proposed approaches to solve this complex problem with the help of static and …",
doi:10.1145/3538641.3561486,A,2022,5,Architectural languages in the microservice era: a systematic mapping study,Research in Adaptive and Convergent Systems,"In modern software systems, Microservice Architecture (MSA) has gained popularity over monolithic design by providing the ability for flexible and independently upgradable services. Although there are considerable benefits that MSA provides, as new microservices are introduced in…",
doi:10.1109/icicas53977.2021.00059,A,2021,4,A Review of Bad Smells in Cloud-based Applications and Microservices,"2021 International Conference on Intelligent Computing, Automation and Systems (ICICAS)","Cloud- and Microservice-based applications are continuously gaining attention in the field of practical software engineering as well as in academic research, but the bad practices exist in such applications have not yet been systematically discussed and analyzed. Moreover, the im…",
doi:10.14313/jamris/1-2022/8,A,2022,4,Migrating Monoliths to Microservices Integrating Robotic Process Automation into the Migration Approach,"Journal of Automation, Mobile Robotics & Intelligent Systems","Abstract This research should help scholars and practitioners to manage the transition of monolithic legacy application systems to microservices and to better understand the migration process, its steps, and its characteristics. It should also provide guidance on how best to appr…",
doi:10.5753/cibse.2024.28435,A,2024,4,Migration of Monolithic Systems to Microservices using AI: A Systematic Mapping Study,Conferencia Iberoamericana de Software Engineering,"The popularity of microservices architecture has been increasing considerably because of its capacity to alleviate monolithic architecture issues. Nonetheless, the migration of monolith systems to microservices is a complex task. This work aims to analyze and characterize the sta…",
doi:10.21681/2311-3456-2021-2-71-80,A,2021,4,Security audit logging in microservice-based systems: survey of architecture patterns,Voprosy kiberbezopasnosti,Objective. Service-oriented architecture increases technical abilities for attacker to move laterally and maintain multiple pivot points inside of compromised environment. Microservice-based infrastructure brings more challenges for security architect related to internal event vi…,
doi:10.23919/cisti58278.2023.10211834,A,2023,4,A Systemic Mapping of Methods and Tools for Performance Analysis of Data Streaming with Containerized Microservices Architecture,Iberian Conference on Information Systems and Technologies,"With the Internet of Things (IoT) growth and customer expectations, the importance of data streaming and streaming processing has increased. Data Streaming refers to the concept where data is processed and transmitted continuously and in real-time without necessarily being stored…",
doi:10.38124/ijsrmt.v3i4.407,A,2024,3,Evaluating Serverless Computing and Microservices Impact on Scalable Cloud-Native Applications and Blockchain Interoperability Frameworks,International Journal of Scientific Research and Modern Technology,"The rapid evolution of cloud-native applications has intensified the demand for scalable, flexible, and cost-efficient architectures. Serverless computing and microservices have emerged as transformative paradigms, enabling dynamic resource management and modular system design fo…",
doi:10.1134/s0361768824700749,A,2024,3,Domain-Driven Design in Microservices-Based Systems Development: A Systematic Literature Review and Thematic Analysis,Programming and computer software,,
doi:10.3991/ijim.v18i10.45929,A,2024,3,Containerized Microservices for Mobile Applications Deployed on Cloud Systems,International Journal of Interactive Mobile Technologies,"This study explores the transformative role of containerized microservices in the sphere of mobile application development, especially within public cloud ecosystems. It focuses on how technologies such as Docker and Kubernetes contribute to improving deployment, scalability, and…",
doi:10.1109/icst62969.2025.10989000,A,2025,3,A Taxonomy of Integration-Relevant Faults for Microservice Testing,International Conference on Information Control Systems & Technologies,"Microservices have emerged as a popular architectural paradigm, offering a flexible and scalable approach to software development. However, their distributed nature and diverse technology stacks introduce inherent complexities, surpassing those of monolithic systems. The integrat…",
doi:10.37547/tajet/volume07issue05-10,A,2025,3,Optimization of Microservices Architecture Performance in High-Load Systems,The American Journal of Engineering and Technology,"The article addresses the issue of optimizing the performance of microservices architecture under high-load conditions. Based on a systematic literature review, six key quality attributes of microservices are identified: scalability, performance, availability, manageability, secu…",
doi:10.1007/s00607-025-01540-w,A,2025,3,"A systematic mapping study on observability of microservices-based applications: fundamentals, classifications, and challenges",Computing,,
doi:10.5220/0012633300003690,A,2024,3,Modernization of Legacy Systems to Microservice Architecture: A Tertiary Study,International Conference on Enterprise Information Systems,": Modernization of legacy systems to Microservice Architecture (MSA) has been a subject of interest in both academia and industry. MSA facilitates the development of systems by composing them as a collection of small, loosely coupled, and independent services. Despite the importa…",
doi:10.1109/conisoft58849.2023.00014,A,2023,3,Domain-Driven Design for Microservices Architecture Systems Development: A Systematic Mapping Study,2023 11th International Conference in Software Engineering Research and Innovation (CONISOFT),"Domain-Driven Design (DDD) is an approach that proposes to align business and technical concerns through analysis of the business domain. Microservices practitioners have adopted this approach in software development. However, there is no certainty of the patterns, techniques, an…",
doi:10.1109/conisoft52520.2021.00016,A,2021,3,Microservices Deployment: A Systematic Mapping Study,2021 9th International Conference in Software Engineering Research and Innovation (CONISOFT),"The microservices architecture is a set of small, autonomous services that can work together to form a single application that has seen widespread adoption by practitioners. However, deploying this architecture creates several technical challenges. This study examines the state o…",
doi:10.3390/asi8040086,A,2025,3,A Systematic Mapping Study on the Modernization of Legacy Systems to Microservice Architecture,Applied System Innovation,"Microservice architecture (MSA) has garnered attention in various software communities because of its significant advantages. Organizations have also prioritized migrating their legacy systems to MSA, seeking to gather the intrinsic advantages of this architectural style. Despite…",
doi:10.21015/vtcs.v12i1.1808,A,2024,3,Transition Strategies from Monolithic to Microservices Architectures: A Domain-Driven Approach and Case Study,VAWKUM Transactions on Computer Sciences,"This paper focuses on the systematic mapping of monolithic applicationsto microservices architecture, a popular alternative in the software development industry.The research examines the advantages of microservices and the challenges organizationsencounter during the transition f…",
doi:10.1145/3528226.3528371,A,2022,3,How Blockchain and Microservices are Being Used Together: a Systematic Mapping Study,International Workshop on Emerging Trends in Software Engineering for Blockchain,"Microservices and blockchain are recent technologies that are at-tracting attention not only individually, but also when used together to achieve a certain goal. This study aims to map how both tech-nologies have been integrated with applications, presenting the state of the art …",
doi:10.48550/arxiv.2309.03796,A,2023,3,Systematic Mapping of Monolithic Applications to Microservices Architecture,arXiv.org,The aim of this paper to provide the solution microservices architecture as a popular alternative to monolithic architecture. It discusses the advantages of microservices and the challenges that organizations face when transitioning from a monolithic system. It presents a case st…,
doi:10.1109/access.2025.3618990,A,2025,2,Semantic Approaches to Microservice Identification: A Systematic Literature Review,IEEE Access,"Decomposition of monolithic systems into microservice architectures has become a critical challenge in modern software engineering. Whereas traditional approaches rely primarily on structural analysis, emerging semantic approaches promise more accurate decomposition by incorporat…",
doi:10.1007/s10207-024-00907-y,A,2024,2,Guiding the implementation of data privacy with microservices,International Journal of Information Security,"Privacy by design is nowadays recognized as essential in bringing data privacy into software systems. However, developers still face many challenges in reconciling privacy and software requirements and implementing privacy protections in software systems. One emerging trend is th…",
doi:10.1109/incet57972.2023.10170375,A,2023,2,A Systematic Review on the Identification and Classification of Patterns in Microservices,2023 4th International Conference for Emerging Technology (INCET),"Determining patterns in monolithic systems to help improve the overall system development and maintenance has become quite commonplace. However, recognizing the patterns that have emerged (or are emerging) in cloud computing - especially with respect to microservices, is challeng…",
doi:10.1109/inciscos49368.2019.00056,A,2019,2,A Systematic Literature Review on Composition of Microservices through the Use of Semantic Annotations: Solutions and Techniques,International Conference Information Systems and Computer Science,"The aim of semantic web is to provide meaning to data shared by a network, therefore making it readable by humans and computer applications. The objective of this is to give the information and services a well-defined meaning by tagging web content with machine processable descri…",
doi:10.15514/ispras-2021-33(1)-6,A,2021,2,Patterns Related to Microservice Architecture: a Multivocal Literature Review,Proceedings of the Institute for System Programming of RAS,"A Microservice Architecture enables the development of distributed systems using a set of highly cohesive, independent, and collaborative services, ready for current cloud computing demands. Each microservice can be implemented in different technologies, sharing common communicat…",
doi:10.5121/ijnsa.2021.13607,A,2021,2,Information and Communication Security Mechanisms For Microservices-based Systems,International journal of network security and its applications,"Security has become paramount in modern software services as more and more security breaches emerge, impacting final users and organizations alike. Trends like the Microservice Architecture bring new security challenges related to communication, system design, development, and op…",
doi:10.1109/icdici66477.2025.11135409,A,2025,2,Retail Digital Transformation Through Microservices and Containerized Architectures,2025 6th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),"Modernizing enterprise systems in now necessary because businesses need to be more adaptable, productive, and innovation. The major approach is to adopt microservices architecture and containerization. Microservices split up large apps into smaller services that can work independ…",
doi:10.1016/j.compeleceng.2025.110550,A,2025,2,A systematic review of QoS enhancement techniques in microservices architecture,Computers & electrical engineering,,
ss:13dcdba274acb14ade18dee8350e8385c3d3307c,A,2023,2,Metrics and Models for Developer Collaboration Analysis in Microservice-Based Systems. A Systematic Mapping Study,IWSM-Mensura,,
doi:10.24215/16666038.25.e11,A,2025,1,Scalability in Microservices: A systematic literature review,Journal of Computational Science and Technology,"The scalability of microservices architectures is crucial for modern software systems, yet it presents significant challenges due to their inherent complexities. This study aims to systematically review existing literature on the scalability of microservices, identifying key stra…",
doi:10.15514/ispras-2024-36(1)-7,A,2024,1,Research Trends and Recommendations for Future Microservices Research,Proceedings of the Institute for System Programming of RAS,"Microservices are the most promising direction for developing heterogeneous distributed software systems capable of adapting to dynamic changes in business and technology. In addition to the development of new software systems, the migration from legacy monolithic systems to micr…",
doi:10.1109/conisoft63288.2024.00026,A,2024,1,System-Oriented Testing on the Microservices Architecture: A Systematic Literature Review,2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"The Microservice Architecture (MSA) is gaining popularity in the industry and literature as a raising research topic. This architectural style brings advantages such as independent development, testing, and deployment. However, it is also plagued with many challenges due to its d…",
doi:10.1109/iiai-aai-winter61682.2023.00022,A,2023,1,Analyzing the Impact of Service Design on Maintainability Factor in Microservices Architecture,2023 15th International Congress on Advanced Applied Informatics Winter (IIAI-AAI-Winter),"Applications designed utilizing Microservices Architecture (MSA) provide the desirable trait of good maintainability. To ensure optimal maintainability, it is important to provide services that are suitable and adhere to prescribed rules. Multiple aspects must be taken into accou…",
doi:10.5121/csit.2021.111701,A,2021,1,Confidentiality and Integrity Mechanisms for Microservices Communication,Computer Science and Information Technology Trends,"The microservices architecture tries to deal with the challenges posed by distributed systems, such as scalability, availability, and system deployment; by means of highly cohesive, heterogeneous, and independent microservices. However, this architecture also brings new security …",
doi:10.1109/icicyta68677.2025.11362635,A,2025,1,"Resilient Microservices: A Systematic Review of Recovery Patterns, Strategies, and Evaluation Frameworks",2025 5th International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),"Microservice-based systems power modern distributed computing environments but remain vulnerable to partial failures, cascading timeouts, and inconsistent recovery behaviors. Although numerous recovery patterns exist, prior reviews are largely descriptive and lack data-driven syn…",
