paper_key,title,year,venue,source,verdict,reason,type,override_verdict
doi:10.1159/000342014,Front & Back Matter,2012,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.15825/1995-1191-2023-2-82-98,Decellularized umbilical cord stroma in tissue engineering and regenerative medicine: a systematic review,2023,Russian Journal of Transplantology and Artificial Organs,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.21125/edulearn.2017.1283,A SYSTEMATIC REVIEW OF THE LITERATURE ON THE TEACHING AND LEARNING OF REQUIREMENTS ENGINEERING,2017,,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/macs.2018.8628389,Survey of Requirement Management Techniques for Safety Critical Systems,2018,"2018 12th International Conference on Mathematics, Actuarial Science, Computer Science and Statistics (MACS)",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/re51729.2021.00008,What’s up with Requirements Engineering for Artificial Intelligence Systems?,2021,IEEE International Requirements Engineering Conference,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s41870-020-00446-4,Identification and integration of security activities for secure agile development,2020,International journal of information technology,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1159/000350045,Front & Back Matter,2013,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/978-3-030-50316-1_28,COPri - A Core Ontology for Privacy Requirements Engineering,2020,Research Challenges in Information Science,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1109/re48521.2020.00027,Automated Recommendation of Templates for Legal Requirements,2020,IEEE International Requirements Engineering Conference,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1111/j.1600-0668.2006.00445.x,Role of ventilation in airborne transmission of infectious agents in the built environment - a multidisciplinary systematic review.,2007,Indoor Air: International Journal of Indoor Environment and Health,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s11219-011-9147-6,Requirements and constructors for tailoring software processes: a systematic literature review,2011,Software quality journal,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:06ddd136eecc9126bd5edf078a4ea94a9f022b5f,Handbook Of Functional Beverages And Human Health Doc Read,2021,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/icceee.2013.6633925,Popular agile approaches in software development: Review and analysis,2013,"INTERNATIONAL CONFERENCE ON COMPUTING, ELECTRICAL AND ELECTRONIC ENGINEERING",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1159/000347131,Front & Back Matter,2013,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:07aa9b75e793ebbe04fb3f9cc562290da6283503,Overcoming Challenges of Requirements Elicitation in Offshore Software Development Projects,2014,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.3390/su17125398,A Systematic Review of Methods and Tools for Working with Sustainability Aspects in Product and Production Co-Development from a Requirements Management Perspective,2025,Sustainability,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.14743/apem2023.2.466,Engineering-to-order manufacturing: A criticality analysis of key challenges and solutions based on literature review,2023,Advances in Production Engineering &amp; Management,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.17762/turcomat.v12i3.989,Critical Success Factors and Challenges in Agile Requirements Engineering,2021,Turkish Journal of Computer and Mathematics Education,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/icsitech.2017.8257195,Developers' coordination issues and its impact on software quality: A systematic review,2017,International Conference on Science in Information Technology,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:08b53b8154ab037e88b92b36ce8d195ac79d045d,Systematic Mapping Protocol: The impact of using software patterns during requirements engineering activities in real-world settings,2017,arXiv.org,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,sms,
doi:10.1007/s00766-010-0111-y,A systematic review of transformation approaches between user requirements and analysis models,2011,Requirements Engineering,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.7275/mr5p-8x02,Bridging the Gap between Architecture and Engineering: a Transdisciplinary Model for a Resilient Built Environment,2019,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.3390/electronics13152989,Systematic Review on Requirements Engineering in Quantum Computing: Insights and Future Directions,2024,Electronics,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/apsecw53869.2021.00011,Landscape of Requirements Engineering for Machine Learning-based AI Systems,2021,2021 28th Asia-Pacific Software Engineering Conference Workshops (APSEC Workshops),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/cbi58679.2023.10187439,The Current State of Security Governance and Compliance in Large-Scale Agile Development: A Systematic Literature Review and Interview Study,2023,Conference on Business Informatics,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.infsof.2015.12.013,Towards pragmatic interoperability to support collaboration: A systematic review and mapping of the literature,2016,Information and Software Technology,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/rew53955.2021.00056,Researcher or Crowd Member? Why not both! The Open Research Knowledge Graph for Applying and Communicating CrowdRE Research,2021,2021 IEEE 29th International Requirements Engineering Conference Workshops (REW),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
ss:09c2487f19119844bb706a0373fef6e5783f7d24,Requirements engineering in agile software projects,2017,,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.18552/2016/scmt4s147,Salient Parameters Influencing the Strength Properties of Cement- Less Wastepaper Based Lightweight Block,2016,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.csi.2010.01.006,A systematic review of security requirements engineering,2010,Comput. Stand. Interfaces,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/access.2022.3152073,A Comparative Systematic Analysis of Stakeholder’s Identification Methods in Requirements Elicitation,2022,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.11606/d.18.2012.tde-09032012-141046,Sistema de Engenharia Kansei para apoiar a descrição da visão do produto no contexto do Gerenciamento Ágil de Projetos de produtos manufaturados,2012,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/3143434.3143437,Agile and lean metrics associated with requirements engineering,2017,IWSM-Mensura,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.5753/jserd.2021.1978,Using evidence from systematic studies to guide a PhD research in Requirements Engineering - an experience report,2022,Journal of Software Engineering Research and Development,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.18260/1-2--22276,Measuring the effectiveness of pedagogical innovations using multiple baseline testing,2013,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:0c71a0b2fa657556524d11fa1878178d5137f84e,Codesing Partitioning Using Memetic Algorithm in VLSI : A Review,2016,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/978-81-322-2229-3_25,Identifying and Utilizing Technological Synergies—A Methodological Framework,2015,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/isse54508.2022.10005513,Systems-Engineering-based Requirements Reuse in Accordance with Stakeholder Needs in Automotive Product Development,2022,Information Security Solutions Europe,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/978-981-13-6052-7_70,Requirement Elicitation for Bespoke Software Development: A Review Paper,2018,INTAP,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:0d139271f73e4bf8c30a49701f7768d0903cddeb,Guideline to elicit requirements on industrial product-service systems,2012,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:0d4c0210137152a4cf42f94c9a286c6819eb43ee,Development of Scientific Software and Practices for Software Development: A Systematic Literature Review,2017,Journal of Software,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.14569/ijacsa.2021.0120945,Research Efforts and Challenges in Crowd-based Requirements Engineering: A Review,2021,International Journal of Advanced Computer Science and Applications,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/sera54885.2022.9806783,Automatic Transformation of Natural to Unified Modeling Language: A Systematic Review,2022,International Conference on Software Engineering Research and Applications,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/3704737,Control Software Engineering Approaches for Cyber-Physical Systems: A Systematic Mapping Study,2024,ACM Trans. Cyber Phys. Syst.,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.14483/23448393.19411,A Model for Documenting Requirements Elicitation,2023,Ingeniería,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.13328/j.cnki.jos.006981.,Deep Learning Based Code Generation Methods: Literature Review,2023,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1134/s0361768825700604,Natural Language Processing for Requirements Elicitation and Analysis: A Systematic Literature Review of Techniques and Tools,2025,Programming and computer software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.48550/arxiv.2505.17798,Defining Self-adaptive Systems: A Systematic Literature Review,2025,arXiv.org,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1088/0967-3334/31/10/e01,The electrode-skin interface and optimal detection of bioelectric signals.,2010,Physiological Measurement,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.37425/eajsti.v4i3.680,Exploring current and future trends of predictive maintenance 4.0 in Tanzania: A systematic literature review,2023,"East African Journal of Science, Technology and Innovation",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1177/22104968251382171,Towards Explainable Automated Knowledge Engineering With Human-in-the-Loop,2025,"Semantic Web: – Interoperability, Usability, Applicability",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/978-3-319-40515-5_7,The Impact of Internet of Things on Software Business Models,2016,International Conference on Software Business,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/seaa51224.2020.00073,Security Compliance in Agile Software Development: A Systematic Mapping Study,2020,EUROMICRO Conference on Software Engineering and Advanced Applications,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s40964-025-01262-7,Current approaches to digital twins in additive manufacturing: a systematic literature review,2025,Progress in Additive Manufacturing,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1159/000355501,Front & Back Matter,2013,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/empire.2015.7431303,Addressing the challenges of requirements ambiguity: A review of empirical literature,2015,2015 IEEE Fifth International Workshop on Empirical Requirements Engineering (EmpiRE),semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1159/000359976,Front & Back Matter,2014,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/iciev.2012.6317443,A systematic review on creativity techniques for requirements engineering,2012,"International Conference on Informatics, Electronics and Vision",semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.24908/pceea.2025.19627,Curriculum Analysis Purposes and Methodologies: A Systematic Literature Review,2025,Proceedings of the Canadian Engineering Education Association (CEEA),semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/2304696.2304716,Model-driven performance engineering of self-adaptive systems: a survey,2012,International ACM SIGSOFT Conference on Quality of Software Architectures,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/quatic.2018.00025,Gamification in Requirements Engineering: A Systematic Review,2018,Quality of Information and Communications Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.infsof.2014.02.001,A systematic literature review of software requirements prioritization research,2014,Information and Software Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.13052/jwe1540-9589.2165,A Systematic Mapping Study on Quality Attribute Traceability,2022,Journal of Web Engineering,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s11761-016-0203-8,A survey of autonomic computing methods in digital service ecosystems,2016,Service Oriented Computing and Applications,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1159/000450799,Front & Back Matter,2016,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/3279996.3280009,Aspect-oriented requirements engineering: approaches and techniques,2018,International Conference on Data Technologies and Applications,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1007/s42979-025-04127-6,Supporting the Integration of Privacy-Enhancing Technologies into the Software Development Life Cycle,2025,SN Computer Science,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:13a411306e72ef626e17960a61e91a5b9f7135cc,Modelling of the relationships between Mobile Device Technologies (MDTs) and UK educational practices,2014,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.31961/eltikom.v7i1.725,A Systematic Literature Review on Blockchain Technology in Software Engineering,2023,Jurnal ELTIKOM,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/978-3-319-63558-3_17,Understanding Knowledge Management in Agile Software Development Practice,2017,"Knowledge Science, Engineering and Management",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/weef-gedc66748.2025.11256329,The Critical Role of Digital Literacy in Transforming Chemical Engineering Education at Durban University of Technology: A Systematic Literature Review,2025,2025 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.18260/1-2--10406,Teaching Safety Through Design In Biomedical Engineering Design,2002,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1115/1.4051768,A Survey of Web-Based Tools for Collaborative Engineering Design,2021,Journal of Mechanical Design,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1108/ci-04-2021-0078,"Analysis of the benefits, challenges and risks for the integrated use of BIM, RFID and WSN: a mixed method research",2022,Construction Innovation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.jss.2022.111483,Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,2022,Journal of Systems and Software,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1186/s40537-023-00805-5,Engineering the advances of the artificial neural networks (ANNs) for the security requirements of Internet of Things: a systematic review,2023,Journal of Big Data,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/smartblock4health64843.2025.11189574,"Emerging Technologies in Immersive Learning: A Systematic Review of Trends, Challenges, and Opportunities",2025,"2025 IEEE 2nd International Conference on Blockchain, Smart Healthcare and Emerging Technologies (SmartBlock4Health)",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.54941/ahfe1006795,Investigation of research gaps and needs with regard to the use of model-based systems engineering for the development of barrier-free vehicles,2025,AHFE International,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:17b92d85aa5168265076cd372d782f1e8c485eb5,Creativity in software engineering : a systematic literature review,2016,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:185155c44362b565bb82cb462299ec2f947eef04,Source Software Ecosystem : A Systematic Literature,2016,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s13369-025-10555-6,Recent Advances in Metal Particle Reinforced Polylactic Acid Biocomposites via Additive Manufacturing for Biomedical Applications,2025,The Arabian journal for science and engineering,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/access.2018.2874096,On the Risks and Safeguards for Requirements Engineering in Global Software Development: Systematic Literature Review and Quantitative Assessment,2018,IEEE Access,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s11948-016-9777-y,Ethical Risk Management Education in Engineering: A Systematic Review,2016,Science and Engineering Ethics,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/3803865,Addressing Visual Impairments with Model-Driven Engineering: A Systematic Literature Review,2025,ACM Transactions on Software Engineering and Methodology,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s10980-022-01449-1,A review of methods for scaling remotely sensed data for spatial pattern analysis,2022,Landscape Ecology,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:1a6ff175fe0cebf2d1163e0855a421a87584cc0a,MAN.15 - Agile Method of Qualification for Equipment at Pharmaceutical Industry of Biotechnology: A Case Study at Bio-Manguinhos’ Henrique Penna Center,2019,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.jss.2015.05.006,Feature extraction approaches from natural language requirements for reuse in software product lines: A systematic literature review,2015,Journal of Systems and Software,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:1ac92ab8161521ca1bd02654b82342e14d197f6c,Conceptualization of an authorship attribution pipeline for blog articles,2017,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/978-3-319-38980-6_12,Exploring Processes in Small Software Companies: A Systematic Review,2016,International Conference on Software Process Improvement and Capability Determination,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/2851613.2851758,Usability of requirements techniques: a systematic literature review,2016,ACM Symposium on Applied Computing,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/3535511.3535524,How are the interoperability requirements addressed in the Systems-of-Systems context?,2022,Brazilian Symposium on Information Systems,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.28925/2663-4023.2025.30.964,"OPTIMIZATION OF HYBRID TCN, LSTM, AND LIGHTGBM MODELS FOR ENERGY CONSUMPTION FORECASTING IN SMART HOMES",2025,"Cybersecurity: Education, Science, Technique",semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.70937/itej.v1i01.8,Optimizing Engineering Processes with Big Data and Machine Learning in Smart Engineering,2024,Innovatech Engineering Journal,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/re.2016.61,Requirements Engineering Visualization: A Systematic Literature Review,2016,IEEE International Requirements Engineering Conference,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.2196/71916,Implementing Large Language Models in Health Care: Clinician-Focused Review With Interactive Guideline,2025,Journal of Medical Internet Research,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.2196/41344,Functional Requirements for Medical Data Integration into Knowledge Management Environments: Requirements Elicitation Approach Based on Systematic Literature Analysis,2022,Journal of Medical Internet Research,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1109/icgse.2010.14,Agile Practices in Global Software Engineering - A Systematic Map,2010,2010 5th IEEE International Conference on Global Software Engineering,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1159/000438691,Front & Back Matter,2015,Gynecologic and Obstetric Investigation,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.5120/ijca2019919533,Identification of Practices for Proper Implementation of Requirements in Global Software Development: A Systematic Literature Review Protocol,2019,International Journal of Computer Applications,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.3233/sw-190352,Semantic modeling for engineering data analytics solutions,2020,Semantic Web,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:1e302e46a4308423ff4692f9cbb92215f57d599d,A systematic review of unmanned aerial vehicle application areas and technologies in the AEC domain,2019,Journal of Information Technology in Construction,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.infsof.2009.04.001,On the generation of requirements specifications from software engineering models: A systematic literature review,2009,Information and Software Technology,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s10796-016-9624-3,A system framework for gamified Cost Engineering,2016,Information Systems Frontiers,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:1f083aa2543848085d11559c04e868800d8f5035,Operationalizing the Requirements Selection Process with Study Selection Procedures from Systematic Literature Reviews,2015,REFSQ Workshops,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/seaa.2019.00064,Non-functional Requirements Prioritization: A Systematic Literature Review,2019,EUROMICRO Conference on Software Engineering and Advanced Applications,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/978-3-658-17694-5_3,Framework for Identifying Meta-Requirements,2017,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s10664-020-09933-5,An automated framework for the extraction of semantic legal metadata from legal texts,2020,Empirical Software Engineering,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.53898/etej2025221,A Systematic Mapping Study on Brain Tumor Segmentation Based on Machine Learning Algorithms,2025,Emerging Technologies and Engineering Journal,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:203f9ae79547c3a177b1cbdda4282b4fbc6f9154,The challenge of data-driven requirements elicitation techniques : Systematic Literature Review a Controlled Experiment,2020,,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
ss:20db12da34313d02d585dd066b1df1329aca0311,Protocol for an Empirical Study of Structured Abstracts,2009,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.jbi.2017.05.013,Enhancing requirements engineering for patient registry software systems with evidence-based components,2017,Journal of Biomedical Informatics,semanticscholar,EXCLUDE,no SLR/SMS self-label in title or abstract,,
doi:10.1007/s00766-009-0080-1,Technology transfer decision support in requirements engineering research: a systematic review of REj,2009,Requirements Engineering,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s10916-018-1040-4,Systematic Review about QoS and QoE in Telemedicine and eHealth Services and Applications,2018,Journal of medical systems,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1145/3727967.3756825,Automating Requirements Classification: A Systematic Literature Review and Ensemble LLM-Based Approach,2025,EASE Companion,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.21902/jbslawjbs.v13i1.54,A Relevância dos Aspectos Jurídico-Legais em Gestão de Projetos: Um Mapeamento da Literatura,2020,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.cmpb.2020.105565,Clinical decision support systems for chronic diseases: A Systematic literature review,2020,Comput. Methods Programs Biomed.,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1016/j.infsof.2014.06.005,"Special section from the International Conference on Evaluation and Assessment in Software Engineering, 2013",2015,Information and Software Technology,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:224026c946e05da9f42c7149dec0d665dc3e8451,Quality Assessment of Requirement Specifications using Metrics – A Research Proposal –,2013,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.4028/www.scientific.net/amm.461.942,Biological System Behaviours and Natural-Inspired Methods and their Applications to Supply Chain Management,2013,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s13748-020-00205-3,A systematic literature review of the SBSE research community in Spain,2020,Progress in Artificial Intelligence,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/isse51541.2021.9582548,The Paradigm of Design Thinking and Systems Engineering in the Design of Cyber-Physical Systems: A Systematic Literature Review,2021,Information Security Solutions Europe,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/sbes.2014.13,A Systematic Review on the Use of Ontologies in Requirements Engineering,2014,Brazilian Symposium on Software Engineering,semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1007/s11219-007-9044-1,In this issue,2007,Software quality journal,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:23b1c451b869f2a993c80836b7f1ea2dde119f76,INTRPRT: A Systematic Review of and Guidelines for Designing and Validating Transparent AI in Medical Image Analysis,2021,arXiv.org,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/syscon.2013.6549938,Engineering change management challenges and management cybernetics,2013,IEEE Systems Conference,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1007/s10270-024-01211-y,Bridging MDE and AI: a systematic review of domain-specific languages and model-driven practices in AI software systems engineering,2023,Journal of Software and Systems Modeling,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:23fffb7841b2248c51cf951cd83ac314d25e2914,Applying Hierarchical Feature Modeling in Automotive Industry,2013,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
ss:240e931c75c6148e92d2344c5453c6764d671668,Success Factors during Requirements Implementation in Global Software Development: A Systematic Literature Review,2018,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.5339/qfarc.2018.ictpp1101,Importance of CapabilityDriven Requirements for Smart City Operations,2018,,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/weef-gedc66748.2025.11256248,Developing Safety Skills for Sustainable Engineering: A Nigerian Case Study,2025,2025 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
doi:10.1109/cimps61323.2023.10528838,Secondary Study on Social Factors that Affect the Prioritization of Software Requirements,2023,2023 12th International Conference On Software Process Improvement (CIMPS),semanticscholar,INCLUDE,SLR/SMS self-label + subfield fit,slr,
doi:10.1016/j.envsci.2022.03.016,A review of support tools to assess multi-sector interactions in the emerging offshore Blue Economy,2022,Environmental Science &amp; Policy,semanticscholar,EXCLUDE,subfield keywords not in title or abstract,,
